dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,spearman,0.481978,0.5,CheZOD labels negated following existing project convention
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,pearson,0.518136,0.5,CheZOD labels negated following existing project convention
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,mae,1.759833,0.5,CheZOD labels negated following existing project convention
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,rmse,2.086588,0.5,CheZOD labels negated following existing project convention
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,protein_spearman,,0.5,CheZOD labels negated following existing project convention; protein-level correlation undefined because fewer than two proteins overlap
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,protein_pearson,,0.5,CheZOD labels negated following existing project convention; protein-level correlation undefined because fewer than two proteins overlap
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,spearman,0.481151,0.5,
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,pearson,0.653303,0.5,
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,mae,0.186306,0.5,
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,rmse,0.288937,0.5,
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,protein_spearman,0.657143,0.5,
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,protein_pearson,0.980855,0.5,
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,protein_mae,0.081978,0.5,
trizod,softdis,exact,sequence,,,6,563,continuous,continuous,protein_rmse,0.093457,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,spearman,0.174514,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,pearson,0.215995,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,mae,0.263474,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,rmse,0.781212,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,protein_spearman,0.400000,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,protein_pearson,0.666822,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,protein_mae,0.225893,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,protein_rmse,0.295891,0.5,
trizod,atlas,exact,none,,,0,0,continuous,continuous,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,spearman,0.504646,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,pearson,0.379056,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,mae,0.319844,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,rmse,0.446339,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,protein_spearman,1.000000,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,protein_pearson,1.000000,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,protein_mae,0.299942,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,protein_rmse,0.408911,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,disprot,exact,none,,,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,spearman,0.332540,0.5,CheZOD labels negated following existing project convention
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,pearson,0.284659,0.5,CheZOD labels negated following existing project convention
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,mae,7.105375,0.5,CheZOD labels negated following existing project convention
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,rmse,7.360978,0.5,CheZOD labels negated following existing project convention
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,protein_spearman,,0.5,CheZOD labels negated following existing project convention; protein-level correlation undefined because fewer than two proteins overlap
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,protein_pearson,,0.5,CheZOD labels negated following existing project convention; protein-level correlation undefined because fewer than two proteins overlap
