dataset_a,dataset_b,comparison_level,protein_id_a,protein_id_b,sequence_length,n_residues_compared,match_mode,percent_identity,query_coverage,target_coverage,alignment_length
trizod,chezod,exact,16904_1_1_1,6968,140,138,sequence,,,,
trizod,softdis,exact,18761_1_1_1,3dxe_C,140,133,sequence,,,,
trizod,softdis,exact,17793_1_1_1,2wk3_C,42,40,sequence,,,,
trizod,softdis,exact,17550_1_1_1,2yhn_A,79,77,sequence,,,,
trizod,softdis,exact,27540_1_1_1,8g26_C,117,115,sequence,,,,
trizod,softdis,exact,51255_1_1_1,7soo_A,99,88,sequence,,,,
trizod,softdis,exact,15094_1_1_1,1naq_A,112,110,sequence,,,,
trizod,pdbflex,exact,18761_1_1_1,3dxdA,140,133,sequence,,,,
trizod,pdbflex,exact,17550_1_1_1,2yhoE,79,77,sequence,,,,
trizod,pdbflex,exact,15511_1_1_1,2cjrA,128,117,sequence,,,,
trizod,pdbflex,exact,28103_1_1_1,4k2dA,200,198,sequence,,,,
trizod,plddt,exact,25150_1_1_1,DP01337,151,145,sequence,,,,
trizod,plddt,exact,16904_1_1_1,DP00070,140,138,sequence,,,,
chezod,softdis,exact,4686,4oij_A,74,72,sequence,,,,
chezod,atlas,exact,6047,3f0o_B,212,186,sequence,,,,
chezod,atlas,exact,6047,3f0p_A,212,186,sequence,,,,
chezod,plddt,exact,6139,DP00580,50,48,sequence,,,,
chezod,plddt,exact,16876,DP00667,185,182,sequence,,,,
chezod,plddt,exact,6968,DP00070,140,138,sequence,,,,
chezod,plddt,exact,25093,DP01291,82,80,sequence,,,,
chezod,plddt,exact,6047,DP00575,212,186,sequence,,,,
chezod,plddt,exact,11526,DP01140,148,146,sequence,,,,
chezod,plddt,exact,6974,DP00358,160,157,sequence,,,,
chezod,plddt,exact,17483,DP00705,109,105,sequence,,,,
chezod,plddt,exact,7279,DP00040,107,105,sequence,,,,
chezod,plddt,exact,17205,DP00277,69,67,sequence,,,,
chezod,plddt,exact,19332,DP01425,111,108,sequence,,,,
chezod,plddt,exact,1128,DP00137,65,63,sequence,,,,
chezod,disprot,exact,19135,DP04241,467,465,sequence,,,,
softdis,pdbflex,exact,5n16_D,5n15A,138,138,sequence,,,,
softdis,pdbflex,exact,4djm_A,4djmD,239,239,sequence,,,,
softdis,pdbflex,exact,1ov8_C,1qhqA,140,140,sequence,,,,
softdis,pdbflex,exact,4kzv_A,4kzwA,134,134,sequence,,,,
softdis,pdbflex,exact,2py2_A,2py2A,136,136,sequence,,,,
softdis,pdbflex,exact,1l2o_B,3jtdB,156,156,sequence,,,,
softdis,pdbflex,exact,1ql3_A,1ql4A,99,99,sequence,,,,
softdis,pdbflex,exact,4ofi_A,4ofiC,115,115,sequence,,,,
softdis,pdbflex,exact,4of6_A,4of6B,120,120,sequence,,,,
softdis,pdbflex,exact,1osa_A,1osaA,148,148,sequence,,,,
softdis,pdbflex,exact,2oz1_B,2oz1F,138,138,sequence,,,,
softdis,pdbflex,exact,1pwp_A,1jkyA,776,776,sequence,,,,
softdis,pdbflex,exact,4hj6_A,4hj6B,178,178,sequence,,,,
softdis,pdbflex,exact,4hwh_A,4hwhE,88,88,sequence,,,,
softdis,pdbflex,exact,2rib_A,2ricC,160,160,sequence,,,,
softdis,pdbflex,exact,5zhc_A,5zi8A,113,113,sequence,,,,
softdis,pdbflex,exact,5v6f_A,5v6cB,138,138,sequence,,,,
softdis,pdbflex,exact,1wp8_B,1wp8A,89,89,sequence,,,,
softdis,pdbflex,exact,4lx8_A,4hnsA,124,124,sequence,,,,
softdis,pdbflex,exact,3dxe_C,3dxdA,140,140,sequence,,,,
softdis,pdbflex,exact,1bye_A,1byeA,213,213,sequence,,,,
softdis,pdbflex,exact,3cdg_K,3cdgF,120,120,sequence,,,,
softdis,pdbflex,exact,2ymz_A,2ymzA,130,130,sequence,,,,
softdis,pdbflex,exact,6mry_A,6mryA,48,48,sequence,,,,
softdis,pdbflex,exact,5u96_A,5u96A,52,52,sequence,,,,
softdis,pdbflex,exact,3jv6_B,3jv6B,107,107,sequence,,,,
softdis,pdbflex,exact,3oe3_A,3oe3C,98,98,sequence,,,,
softdis,pdbflex,exact,7ytq_A,3c22D,156,156,sequence,,,,
softdis,pdbflex,exact,1nw2_A,1nw2A,105,105,sequence,,,,
softdis,pdbflex,exact,6eun_A,6eunA,156,156,sequence,,,,
softdis,pdbflex,exact,2z8v_C,2z8vC,116,116,sequence,,,,
softdis,pdbflex,exact,2qyp_A,2qypB,91,91,sequence,,,,
