dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,spearman,0.481978,0.5,CheZOD labels negated following existing project convention
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,pearson,0.518136,0.5,CheZOD labels negated following existing project convention
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,mae,1.759833,0.5,CheZOD labels negated following existing project convention
trizod,chezod,exact,sequence,,,1,138,continuous,continuous,rmse,2.086588,0.5,CheZOD labels negated following existing project convention
trizod,chezod,mmseqs_100,mmseqs,100.0,0.8,1,138,continuous,continuous,spearman,0.481978,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_100,mmseqs,100.0,0.8,1,138,continuous,continuous,pearson,0.518136,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_100,mmseqs,100.0,0.8,1,138,continuous,continuous,mae,1.759833,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_100,mmseqs,100.0,0.8,1,138,continuous,continuous,rmse,2.086588,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_98,mmseqs,98.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_98,mmseqs,98.0,0.8,2,348,continuous,continuous,pearson,0.961757,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_98,mmseqs,98.0,0.8,2,348,continuous,continuous,mae,7.644764,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_98,mmseqs,98.0,0.8,2,348,continuous,continuous,rmse,9.230812,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_95,mmseqs,95.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_95,mmseqs,95.0,0.8,2,348,continuous,continuous,pearson,0.961757,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_95,mmseqs,95.0,0.8,2,348,continuous,continuous,mae,7.644764,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_95,mmseqs,95.0,0.8,2,348,continuous,continuous,rmse,9.230812,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_90,mmseqs,90.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_90,mmseqs,90.0,0.8,2,348,continuous,continuous,pearson,0.961757,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_90,mmseqs,90.0,0.8,2,348,continuous,continuous,mae,7.644764,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_90,mmseqs,90.0,0.8,2,348,continuous,continuous,rmse,9.230812,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_85,mmseqs,85.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_85,mmseqs,85.0,0.8,2,348,continuous,continuous,pearson,0.961757,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,chezod,mmseqs_85,mmseqs,85.0,0.8,2,348,continuous,continuous,mae,7.644764,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
