dataset_a,dataset_b,comparison_level,protein_id_a,protein_id_b,sequence_length,n_residues_compared,match_mode,percent_identity,query_coverage,target_coverage,alignment_length
trizod,chezod,exact,16904_1_1_1,6968,140,138,sequence,,,,
trizod,chezod,mmseqs_100,16904_1_1_1,6968,140,138,mmseqs,100.000000,1.000000,1.000000,140
trizod,chezod,mmseqs_98,16904_1_1_1,6968,140,138,mmseqs,100.000000,1.000000,1.000000,140
trizod,chezod,mmseqs_98,30150_1_1_1,19521,212,210,mmseqs,99.500000,1.000000,1.000000,212
trizod,chezod,mmseqs_95,16904_1_1_1,6968,140,138,mmseqs,100.000000,1.000000,1.000000,140
trizod,chezod,mmseqs_95,30150_1_1_1,19521,212,210,mmseqs,99.500000,1.000000,1.000000,212
trizod,chezod,mmseqs_90,16904_1_1_1,6968,140,138,mmseqs,100.000000,1.000000,1.000000,140
trizod,chezod,mmseqs_90,30150_1_1_1,19521,212,210,mmseqs,99.500000,1.000000,1.000000,212
trizod,chezod,mmseqs_85,16904_1_1_1,6968,140,138,mmseqs,100.000000,1.000000,1.000000,140
trizod,chezod,mmseqs_85,30150_1_1_1,19521,212,210,mmseqs,99.500000,1.000000,1.000000,212
trizod,chezod,mmseqs_80,16904_1_1_1,6968,140,138,mmseqs,100.000000,1.000000,1.000000,140
trizod,chezod,mmseqs_80,30150_1_1_1,19521,212,210,mmseqs,99.500000,1.000000,1.000000,212
trizod,softdis,exact,18761_1_1_1,3dxe_C,140,133,sequence,,,,
trizod,softdis,exact,17793_1_1_1,2wk3_C,42,40,sequence,,,,
trizod,softdis,exact,17550_1_1_1,2yhn_A,79,77,sequence,,,,
trizod,softdis,exact,27540_1_1_1,8g26_C,117,115,sequence,,,,
trizod,softdis,exact,51255_1_1_1,7soo_A,99,88,sequence,,,,
trizod,softdis,exact,15094_1_1_1,1naq_A,112,110,sequence,,,,
trizod,softdis,mmseqs_100,15726_1_1_1,2von_A,197,190,mmseqs,100.000000,0.969543,0.989637,191
trizod,softdis,mmseqs_100,15197_1_1_1,3ox5_A,167,151,mmseqs,100.000000,0.910180,0.993464,152
trizod,softdis,mmseqs_100,19214_1_1_1,6upp_A,165,145,mmseqs,100.000000,0.909091,1.000000,150
trizod,softdis,mmseqs_100,50392_1_1_1,9fz4_A,151,131,mmseqs,100.000000,0.867550,1.000000,131
trizod,softdis,mmseqs_100,18761_1_1_1,3dxe_C,140,133,mmseqs,100.000000,1.000000,1.000000,140
trizod,softdis,mmseqs_100,15760_1_1_1,2vzc_A,129,127,mmseqs,100.000000,1.000000,0.984733,129
trizod,softdis,mmseqs_100,18142_1_1_1,4lk9_A,110,106,mmseqs,100.000000,1.000000,0.808824,110
trizod,softdis,mmseqs_100,27540_1_1_1,8g26_C,117,115,mmseqs,100.000000,1.000000,1.000000,117
trizod,softdis,mmseqs_100,15813_1_1_1,1oms_C,117,115,mmseqs,100.000000,1.000000,0.966942,117
trizod,softdis,mmseqs_100,15094_1_1_1,1naq_A,112,110,mmseqs,100.000000,1.000000,1.000000,112
trizod,softdis,mmseqs_100,50368_1_1_1,6gbg_D,108,106,mmseqs,100.000000,0.990741,0.930435,107
trizod,softdis,mmseqs_100,16741_1_1_1,1bxa_A,106,104,mmseqs,100.000000,0.990566,1.000000,105
trizod,softdis,mmseqs_100,19943_1_1_1,5hbl_A,108,106,mmseqs,100.000000,1.000000,0.850394,108
trizod,softdis,mmseqs_100,16353_1_1_1,6kc4_A,116,100,mmseqs,100.000000,0.862069,0.980392,100
trizod,softdis,mmseqs_100,25305_1_1_1,2wwk_T,101,95,mmseqs,100.000000,0.990099,0.980392,100
trizod,softdis,mmseqs_100,11471_1_2_2,1aue_A,94,92,mmseqs,100.000000,1.000000,0.940000,94
