predictor,proteins,residues,score_mean,score_std,score_p05,score_p50,score_p95,protein_mean_score_mean,protein_mean_score_se
DisPredict3,20596,11187995,0.09183018,0.20463921,0,0.006,0.62,0.15267896,0.0014241886
trizod,20659,11456702,0.29941474,0.27968534,0.038,0.151,0.818,0.28956181,0.0012343609
chezod,20659,11456702,-8.3033686,4.5699467,-14.01,-9.751,-0.748,-8.4956104,0.019730973
softdis,20659,11456702,0.38397691,0.33111705,0.011,0.266,0.942,0.37049959,0.0010963511
atlas,20659,11456702,0.95998741,0.67410009,0.35,0.683,2.353,0.99260246,0.0023856093
plddt,20659,11456702,-74.150914,20.253484,-96.008,-83.401,-38.655,-75.429336,0.07370559
disprot,20659,11456702,0.38331078,0.37867764,0.014,0.176,0.984,0.38809796,0.0017262995
DisoFLAG,20195,9997764,0.19532659,0.22653986,0.0073,0.0859,0.6967,0.22992565,0.0011578903
DisorderUnetLM,20659,11456702,0.15604547,0.26149035,0.00079154,0.01620469,0.82275706,0.21012436,0.0014690345
PUNCH2_light,20077,9987102,0.31861655,0.37007064,0.003,0.071,0.966,0.30915771,0.0016395242
ADOPT,20659,9861047,-9.1380849,5.2544386,-15.89344,-10.761467,-0.1224716,-9.0884777,0.021708875
