,trizod,chezod,softdis,atlas,plddt,disprot,PUNCH2_light,DisoFLAG,DisorderUnetLM,DisPredict3
trizod,100.0,91.72313649564376,68.92545982575024,50.91965150048403,74.68538238141336,77.83155856727977,75.4980079681275,38.91089108910891,47.77347531461762,35.58252427184466
chezod,91.72313649564376,100.0,66.5053242981607,53.58180058083253,70.95837366892546,80.25169409486931,77.49003984063745,41.18811881188119,49.56437560503388,37.52427184466019
softdis,68.92545982575024,66.5053242981607,100.0,49.08034849951597,74.20135527589545,55.90513068731849,64.39243027888446,28.514851485148515,29.670861568247823,25.097087378640776
atlas,50.91965150048403,53.58180058083253,49.08034849951597,100.0,35.43078412391094,53.82381413359148,49.65139442231076,47.17821782178218,47.8702807357212,50.24271844660194
plddt,74.68538238141336,70.95837366892546,74.20135527589545,35.43078412391094,100.0,62.7783155856728,68.12749003984064,24.306930693069308,31.55856727976767,20.679611650485437
disprot,77.83155856727977,80.25169409486931,55.90513068731849,53.82381413359148,62.7783155856728,100.0,75.14940239043824,47.37623762376238,58.5188770571152,46.116504854368934
PUNCH2_light,75.4980079681275,77.49003984063745,64.39243027888446,49.65139442231076,68.12749003984064,75.14940239043824,100.0,43.97410358565737,53.286852589641434,38.99402390438247
DisoFLAG,38.91089108910891,41.18811881188119,28.514851485148515,47.17821782178218,24.306930693069308,47.37623762376238,43.97410358565737,100.0,68.06930693069307,61.92364898363907
DisorderUnetLM,47.77347531461762,49.56437560503388,29.670861568247823,47.8702807357212,31.55856727976767,58.5188770571152,53.286852589641434,68.06930693069307,100.0,60.19417475728155
DisPredict3,35.58252427184466,37.52427184466019,25.097087378640776,50.24271844660194,20.679611650485437,46.116504854368934,38.99402390438247,61.92364898363907,60.19417475728155,100.0
