predictor_a,predictor_b,common_proteins,proteins_per_top_10_percent,shared_top_10_percent_proteins,top_10_percent_overlap
trizod,chezod,20659,2066,1895,91.72313649564376
chezod,disprot,20659,2066,1658,80.25169409486931
trizod,disprot,20659,2066,1608,77.83155856727977
chezod,PUNCH2_light,20077,2008,1556,77.49003984063745
trizod,PUNCH2_light,20077,2008,1516,75.4980079681275
disprot,PUNCH2_light,20077,2008,1509,75.14940239043824
trizod,plddt,20659,2066,1543,74.68538238141336
softdis,plddt,20659,2066,1533,74.20135527589545
chezod,plddt,20659,2066,1466,70.95837366892546
trizod,softdis,20659,2066,1424,68.92545982575024
plddt,PUNCH2_light,20077,2008,1368,68.12749003984064
DisoFLAG,DisorderUnetLM,20195,2020,1375,68.06930693069307
chezod,softdis,20659,2066,1374,66.5053242981607
softdis,PUNCH2_light,20077,2008,1293,64.39243027888446
plddt,disprot,20659,2066,1297,62.7783155856728
DisoFLAG,DisPredict3,20168,2017,1249,61.92364898363907
DisorderUnetLM,DisPredict3,20596,2060,1240,60.19417475728155
disprot,DisorderUnetLM,20659,2066,1209,58.5188770571152
softdis,disprot,20659,2066,1155,55.90513068731849
atlas,disprot,20659,2066,1112,53.82381413359148
chezod,atlas,20659,2066,1107,53.58180058083253
PUNCH2_light,DisorderUnetLM,20077,2008,1070,53.286852589641434
trizod,atlas,20659,2066,1052,50.91965150048403
atlas,DisPredict3,20596,2060,1035,50.24271844660194
atlas,PUNCH2_light,20077,2008,997,49.65139442231076
chezod,DisorderUnetLM,20659,2066,1024,49.56437560503388
softdis,atlas,20659,2066,1014,49.08034849951597
atlas,DisorderUnetLM,20659,2066,989,47.8702807357212
trizod,DisorderUnetLM,20659,2066,987,47.77347531461762
disprot,DisoFLAG,20195,2020,957,47.37623762376238
atlas,DisoFLAG,20195,2020,953,47.17821782178218
disprot,DisPredict3,20596,2060,950,46.116504854368934
PUNCH2_light,DisoFLAG,20077,2008,883,43.97410358565737
chezod,DisoFLAG,20195,2020,832,41.18811881188119
PUNCH2_light,DisPredict3,20077,2008,783,38.99402390438247
trizod,DisoFLAG,20195,2020,786,38.91089108910891
chezod,DisPredict3,20596,2060,773,37.52427184466019
trizod,DisPredict3,20596,2060,733,35.58252427184466
atlas,plddt,20659,2066,732,35.43078412391094
plddt,DisorderUnetLM,20659,2066,652,31.55856727976767
softdis,DisorderUnetLM,20659,2066,613,29.670861568247823
softdis,DisoFLAG,20195,2020,576,28.514851485148515
softdis,DisPredict3,20596,2060,517,25.097087378640776
plddt,DisoFLAG,20195,2020,491,24.306930693069308
plddt,DisPredict3,20596,2060,426,20.679611650485437
