dataset_a,dataset_b,predictor_residue_spearman,annotation_metric,annotation_agreement,n_annotation_overlap_proteins,n_annotation_residues,interpretation_scope
atlas,chezod,0.804006,spearman,0.220828,2,372,descriptive; annotation metrics and overlap sizes differ
atlas,disprot,0.866774,auroc,,0,0,descriptive; annotation metrics and overlap sizes differ
atlas,pdbflex,0.397378,spearman,0.111006,25,2587,descriptive; annotation metrics and overlap sizes differ
atlas,plddt,0.813176,spearman,0.295052,2,424,descriptive; annotation metrics and overlap sizes differ
atlas,softdis,0.855393,spearman,0.315038,17,1558,descriptive; annotation metrics and overlap sizes differ
atlas,trizod,0.812676,spearman,,0,0,descriptive; annotation metrics and overlap sizes differ
chezod,disprot,0.855081,auroc,,1,465,descriptive; annotation metrics and overlap sizes differ
chezod,pdbflex,0.458588,spearman,,0,0,descriptive; annotation metrics and overlap sizes differ
chezod,plddt,0.845469,spearman,0.691031,12,1385,descriptive; annotation metrics and overlap sizes differ
chezod,softdis,0.811431,spearman,0.33254,1,72,descriptive; annotation metrics and overlap sizes differ
chezod,trizod,0.955227,spearman,0.481978,1,138,descriptive; annotation metrics and overlap sizes differ
disprot,pdbflex,0.507872,auroc,0.307951,7,2335,descriptive; annotation metrics and overlap sizes differ
disprot,plddt,0.894091,auroc,,0,0,descriptive; annotation metrics and overlap sizes differ
disprot,softdis,0.863369,auroc,0.929907,8,2642,descriptive; annotation metrics and overlap sizes differ
disprot,trizod,0.867406,auroc,,0,0,descriptive; annotation metrics and overlap sizes differ
pdbflex,plddt,0.557118,spearman,0.0115,6,1412,descriptive; annotation metrics and overlap sizes differ
pdbflex,softdis,0.568781,spearman,0.07709,748,123212,descriptive; annotation metrics and overlap sizes differ
pdbflex,trizod,0.50373,spearman,0.174514,4,525,descriptive; annotation metrics and overlap sizes differ
plddt,softdis,0.868132,spearman,0.656777,10,2521,descriptive; annotation metrics and overlap sizes differ
plddt,trizod,0.854218,spearman,0.504646,2,283,descriptive; annotation metrics and overlap sizes differ
softdis,trizod,0.814875,spearman,0.481151,6,563,descriptive; annotation metrics and overlap sizes differ
