metric,group_pair,n_predictor_pairs,mean_spearman,min_spearman,max_spearman
residue_spearman,CAID-style external vs CAID-style external,6,0.7521928333333333,0.666525,0.830041
residue_spearman,CAID-style external vs UdonPred,28,0.6738288928571429,0.330585,0.900062
residue_spearman,CAID-style external vs classical external,16,0.6791866875,0.537669,0.857652
residue_spearman,UdonPred vs UdonPred,21,0.7511805238095237,0.397378,0.955227
residue_spearman,UdonPred vs classical external,28,0.6935662142857143,0.332081,0.836354
residue_spearman,classical external vs classical external,6,0.7123103333333333,0.588186,0.808299
protein_spearman,CAID-style external vs CAID-style external,6,0.7160258333333333,0.537051,0.845826
protein_spearman,CAID-style external vs UdonPred,28,0.6825669285714285,0.311371,0.942068
protein_spearman,CAID-style external vs classical external,16,0.6787620000000001,0.400813,0.93463
protein_spearman,UdonPred vs UdonPred,21,0.8469514761904762,0.61037,0.980046
protein_spearman,UdonPred vs classical external,28,0.808796142857143,0.43177,0.932523
protein_spearman,classical external vs classical external,6,0.8146823333333333,0.692484,0.933621
