,protein_length,mean_disorder_percentile,predictor_disagreement,length_bin
A0A024R1R8,64,0.9400943684050063,0.0554706748592557,<200
A0A024RBG1,181,0.453721447712658,0.14799615024392207,<200
A0A075B6H7,116,0.2367177173168241,0.10034319801098189,<200
A0A075B6H8,117,0.2610605614619934,0.1025526785287918,<200
A0A075B6H9,119,0.2963668766195052,0.1371876446908805,<200
A0A075B6I0,122,0.30598891358396163,0.11269839758866923,<200
A0A075B6I1,120,0.30004537681376314,0.11289681839913043,<200
A0A075B6I3,123,0.3035850802661481,0.192567121120372,<200
A0A075B6I4,117,0.4182636785710535,0.22268312619956232,<200
A0A075B6I6,118,0.3036170612320499,0.1287076320393991,<200
A0A075B6I7,105,0.3045952590391714,0.17194047747307023,<200
A0A075B6I9,117,0.3007468024263501,0.09348188071553054,<200
A0A075B6J1,123,0.2918196388053787,0.14631554183396453,<200
A0A075B6J2,118,0.291347771575715,0.09704041617960527,<200
A0A075B6J6,115,0.3959882498321804,0.17515402362647406,<200
A0A075B6J9,118,0.37237086727911767,0.183976885065022,<200
A0A075B6K0,115,0.3467504456015785,0.14562482365103943,<200
A0A075B6K2,115,0.36545152372062567,0.18438077736480576,<200
A0A075B6K4,115,0.38223012138899315,0.17441790077324024,<200
A0A075B6K5,115,0.31440729407697127,0.17341408351327448,<200
A0A075B6K6,122,0.373965939183214,0.17131989725644148,<200
A0A075B6L2,119,0.2889328794261069,0.16096420498764116,<200
A0A075B6L6,115,0.37127498823476535,0.13927568901072016,<200
A0A075B6N1,114,0.23525157037083363,0.08665504473914974,<200
A0A075B6N2,111,0.19190566487585262,0.08236196647348497,<200
A0A075B6N3,115,0.26466655247012005,0.08456884278004445,<200
A0A075B6N4,114,0.266414214697726,0.11631933750036567,<200
A0A075B6P5,120,0.2618743076318478,0.10690538637095849,<200
A0A075B6Q5,118,0.2567057097963659,0.09321509340019563,<200
A0A075B6R0,118,0.2722910666665787,0.10565587531052448,<200
A0A075B6R2,117,0.23622200808428814,0.09043019995427704,<200
A0A075B6R9,120,0.2722643690585741,0.09088738890016286,<200
A0A075B6S0,16,0.7676431910619329,0.24567130656231806,<200
A0A075B6S2,120,0.2530916211597842,0.08739741464176053,<200
A0A075B6S4,117,0.2714025419056622,0.08702551800837763,<200
A0A075B6S5,117,0.2876752778292392,0.08624799823025178,<200
A0A075B6S6,120,0.26275882836343933,0.09136217213711263,<200
A0A075B6S9,117,0.2973252581327303,0.09492618666806307,<200
A0A075B6T6,113,0.23377458418725997,0.17188069666147057,<200
A0A075B6T7,132,0.3753173227341174,0.12370762896978635,<200
A0A075B6T8,112,0.2992874811381499,0.11775998098627752,<200
A0A075B6U4,112,0.28654308477598917,0.10749945998383391,<200
A0A075B6V5,113,0.23311251048104462,0.16726561523166272,<200
A0A075B6W5,121,0.3472283578518392,0.16057612283530978,<200
A0A075B6X5,111,0.31788254932938725,0.18079219038190805,<200
A0A075B6Y3,20,0.7929161331023021,0.2342722421624917,<200
