predictor_a,predictor_b,length_bin,n_common_proteins,protein_mean_score_spearman
trizod,chezod,<200,3847,0.9810960101508849
trizod,chezod,200-499,8715,0.9781449248264668
trizod,chezod,500-999,5675,0.9819202553147113
trizod,chezod,>=1000,2422,0.9921221885278885
trizod,softdis,<200,3847,0.8353375907384678
trizod,softdis,200-499,8715,0.9416026673071051
trizod,softdis,500-999,5675,0.9544815658481584
trizod,softdis,>=1000,2422,0.952416600633276
trizod,atlas,<200,3847,0.8699088652533467
trizod,atlas,200-499,8715,0.948059745526141
trizod,atlas,500-999,5675,0.9386754145728722
trizod,atlas,>=1000,2422,0.9428479311456968
trizod,plddt,<200,3847,0.911115688301706
trizod,plddt,200-499,8715,0.9176493771988394
trizod,plddt,500-999,5675,0.9538453250705066
trizod,plddt,>=1000,2422,0.969808239882054
trizod,disprot,<200,3847,0.9411159482605979
trizod,disprot,200-499,8715,0.9665307477521099
trizod,disprot,500-999,5675,0.9778226122195851
trizod,disprot,>=1000,2422,0.9863197165890585
trizod,SETH,<200,3847,0.9434103019052439
trizod,SETH,200-499,8715,0.9031374755596865
trizod,SETH,500-999,5675,0.9123285923399236
trizod,SETH,>=1000,2422,0.948019107262227
trizod,IUPred3,<200,3847,0.4998814990184198
trizod,IUPred3,200-499,8715,0.7878643992431693
trizod,IUPred3,500-999,5675,0.8515000848732245
trizod,IUPred3,>=1000,2422,0.8966525031746646
trizod,ADOPT,<200,3847,0.923269163592977
trizod,ADOPT,200-499,8715,0.921260612038622
trizod,ADOPT,500-999,5675,0.9425140209834822
trizod,ADOPT,>=1000,2422,0.8924728577952404
trizod,metapredict,<200,3847,0.865312969937062
trizod,metapredict,200-499,8715,0.9418330031773413
trizod,metapredict,500-999,5675,0.9520945364992938
trizod,metapredict,>=1000,2422,0.9571536546616111
trizod,PUNCH2_light,<200,3746,0.8968351679896136
trizod,PUNCH2_light,200-499,8704,0.9526643196583756
trizod,PUNCH2_light,500-999,5670,0.9502573195118406
trizod,PUNCH2_light,>=1000,1957,0.96090348100253
trizod,DisoFLAG,<200,3847,0.712381729299807
trizod,DisoFLAG,200-499,8715,0.8112666454819839
trizod,DisoFLAG,500-999,5675,0.7910617571255918
trizod,DisoFLAG,>=1000,1958,0.7318511312670487
trizod,DisorderUnetLM,<200,3847,0.885148651877853
trizod,DisorderUnetLM,200-499,8715,0.8346968007628929
trizod,DisorderUnetLM,500-999,5675,0.6982600667386087
trizod,DisorderUnetLM,>=1000,2422,0.6215548458172206
trizod,DisPredict3,<200,3835,0.6249451717764677
trizod,DisPredict3,200-499,8705,0.7111450914431168
trizod,DisPredict3,500-999,5670,0.5300753717778204
trizod,DisPredict3,>=1000,2386,0.4266774982602092
chezod,softdis,<200,3847,0.830052129682198
chezod,softdis,200-499,8715,0.9086197007742693
chezod,softdis,500-999,5675,0.9368565453212946
chezod,softdis,>=1000,2422,0.9456397113170885
chezod,atlas,<200,3847,0.8746835671765899
chezod,atlas,200-499,8715,0.914899886690393
chezod,atlas,500-999,5675,0.9271079979021857
chezod,atlas,>=1000,2422,0.9408169423576687
chezod,plddt,<200,3847,0.8948648471347077
chezod,plddt,200-499,8715,0.8795524586482297
chezod,plddt,500-999,5675,0.9393280715071329
chezod,plddt,>=1000,2422,0.9584517429501026
chezod,disprot,<200,3847,0.9477885077387257
chezod,disprot,200-499,8715,0.9338899556923843
chezod,disprot,500-999,5675,0.9630089930819022
chezod,disprot,>=1000,2422,0.9770926787552869
chezod,SETH,<200,3847,0.9385444882627273
chezod,SETH,200-499,8715,0.8907050432450948
chezod,SETH,500-999,5675,0.9180169878281106
chezod,SETH,>=1000,2422,0.9352113747206877
chezod,IUPred3,<200,3847,0.4727944338896125
chezod,IUPred3,200-499,8715,0.7826532400711798
