predictor,group,length_bin,n_proteins,mean_protein_score_percentile
trizod,UdonPred,<200,3847,0.5344202270563162
trizod,UdonPred,200-499,8715,0.44624292221891093
trizod,UdonPred,500-999,5675,0.522731179443504
trizod,UdonPred,>=1000,2422,0.5857055640110067
chezod,UdonPred,<200,3847,0.518715473573112
chezod,UdonPred,200-499,8715,0.4428523245686861
chezod,UdonPred,500-999,5675,0.5373235161345558
chezod,UdonPred,>=1000,2422,0.5886592115955965
softdis,UdonPred,<200,3847,0.48087049775909263
softdis,UdonPred,200-499,8715,0.4670531878226882
softdis,UdonPred,500-999,5675,0.5308494361877459
softdis,UdonPred,>=1000,2422,0.576858840991158
atlas,UdonPred,<200,3847,0.6038924067519802
atlas,UdonPred,200-499,8715,0.4642009804481075
atlas,UdonPred,500-999,5675,0.48672483518292525
atlas,UdonPred,>=1000,2422,0.4951077320217896
plddt,UdonPred,<200,3847,0.5068756629192868
plddt,UdonPred,200-499,8715,0.4534343913100627
plddt,UdonPred,500-999,5675,0.5242399073864192
plddt,UdonPred,>=1000,2422,0.6000442320662175
disprot,UdonPred,<200,3847,0.6137622185484265
disprot,UdonPred,200-499,8715,0.44591092687012845
disprot,UdonPred,500-999,5675,0.487380196959523
disprot,UdonPred,>=1000,2422,0.5437078446844515
SETH,classical external,<200,3847,0.5273868356348215
SETH,classical external,200-499,8715,0.45410058703416073
SETH,classical external,500-999,5675,0.5266172309622604
SETH,classical external,>=1000,2422,0.5594977050368717
IUPred3,classical external,<200,3847,0.4583661868845507
IUPred3,classical external,200-499,8715,0.45675478358150573
IUPred3,classical external,500-999,5675,0.5445128649757026
IUPred3,classical external,>=1000,2422,0.6176452648246072
ADOPT,classical external,<200,3847,0.5752878197572466
ADOPT,classical external,200-499,8715,0.46084529664369134
ADOPT,classical external,500-999,5675,0.498240260935224
ADOPT,classical external,>=1000,2422,0.5256348126906298
metapredict,classical external,<200,3847,0.5637737020088022
metapredict,classical external,200-499,8715,0.43803303357469486
metapredict,classical external,500-999,5675,0.5084791707937129
metapredict,classical external,>=1000,2422,0.6020170877433328
PUNCH2_light,CAID-style external,<200,3746,0.5335395194066113
PUNCH2_light,CAID-style external,200-499,8704,0.45665249794724133
PUNCH2_light,CAID-style external,500-999,5670,0.519723798824262
PUNCH2_light,CAID-style external,>=1000,1957,0.5717034638919158
DisoFLAG,CAID-style external,<200,3847,0.6902619141045716
DisoFLAG,CAID-style external,200-499,8715,0.4719013769505214
DisoFLAG,CAID-style external,500-999,5675,0.4497941894720309
DisoFLAG,CAID-style external,>=1000,1958,0.39701730902050264
DisorderUnetLM,CAID-style external,<200,3847,0.6773215580166149
DisorderUnetLM,CAID-style external,200-499,8715,0.5101038620262133
DisorderUnetLM,CAID-style external,500-999,5675,0.4369171994243424
DisorderUnetLM,CAID-style external,>=1000,2422,0.3300097861348021
DisPredict3,CAID-style external,<200,3835,0.7456607629790015
DisPredict3,CAID-style external,200-499,8705,0.49809830185124304
DisPredict3,CAID-style external,500-999,5670,0.4263972636593534
DisPredict3,CAID-style external,>=1000,2386,0.287205687934587
