predictor,group,n_proteins,length_vs_mean_score_spearman
trizod,UdonPred,20659,0.07018451766916353
chezod,UdonPred,20659,0.10651601144185999
softdis,UdonPred,20659,0.11499761355463846
atlas,UdonPred,20659,-0.1058415336123676
plddt,UdonPred,20659,0.1045949683000288
disprot,UdonPred,20659,-0.07449976421155846
SETH,classical external,20659,0.053627854944631584
IUPred3,classical external,20659,0.18704905959340784
ADOPT,classical external,20659,-0.04319004252057073
metapredict,classical external,20659,0.044004031341657895
PUNCH2_light,CAID-style external,20077,0.0472458471598049
DisoFLAG,CAID-style external,20195,-0.2955341198140142
DisorderUnetLM,CAID-style external,20659,-0.358220222956448
DisPredict3,CAID-style external,20596,-0.4549122919385304
