metric,cluster_position,predictor,group
residue_spearman,1,DisPredict3,CAID-style external
residue_spearman,2,DisoFLAG,CAID-style external
residue_spearman,3,DisorderUnetLM,CAID-style external
residue_spearman,4,metapredict,classical external
residue_spearman,5,atlas,UdonPred
residue_spearman,6,softdis,UdonPred
residue_spearman,7,plddt,UdonPred
residue_spearman,8,disprot,UdonPred
residue_spearman,9,PUNCH2_light,CAID-style external
residue_spearman,10,SETH,classical external
residue_spearman,11,trizod,UdonPred
residue_spearman,12,chezod,UdonPred
residue_spearman,13,ADOPT,classical external
residue_spearman,14,IUPred3,classical external
protein_spearman,1,DisPredict3,CAID-style external
protein_spearman,2,DisoFLAG,CAID-style external
protein_spearman,3,DisorderUnetLM,CAID-style external
protein_spearman,4,ADOPT,classical external
protein_spearman,5,SETH,classical external
protein_spearman,6,chezod,UdonPred
protein_spearman,7,trizod,UdonPred
protein_spearman,8,disprot,UdonPred
protein_spearman,9,plddt,UdonPred
protein_spearman,10,PUNCH2_light,CAID-style external
protein_spearman,11,metapredict,classical external
protein_spearman,12,softdis,UdonPred
protein_spearman,13,atlas,UdonPred
protein_spearman,14,IUPred3,classical external
