metric,group_pair,n_predictor_pairs,mean_spearman,min_spearman,max_spearman
residue_spearman,CAID-style external vs CAID-style external,6,0.7521928333333333,0.666525,0.830041
residue_spearman,CAID-style external vs UdonPred,24,0.7145804166666666,0.56543,0.900062
residue_spearman,CAID-style external vs classical external,16,0.6791866875,0.537669,0.857652
residue_spearman,UdonPred vs UdonPred,15,0.8520882666666668,0.804006,0.955227
residue_spearman,UdonPred vs classical external,24,0.741085125,0.601188,0.836354
residue_spearman,classical external vs classical external,6,0.7123103333333333,0.588186,0.808299
protein_spearman,CAID-style external vs CAID-style external,6,0.7160258333333333,0.537051,0.845826
protein_spearman,CAID-style external vs UdonPred,24,0.7170870416666667,0.455389,0.942068
protein_spearman,CAID-style external vs classical external,16,0.6787620000000001,0.400813,0.93463
protein_spearman,UdonPred vs UdonPred,15,0.9220379333333334,0.85405,0.980046
protein_spearman,UdonPred vs classical external,24,0.851071625,0.668046,0.932523
protein_spearman,classical external vs classical external,6,0.8146823333333333,0.692484,0.933621
