predictor,proteins,residues,nonfinite_scores,oriented_score_min,oriented_score_max,score_direction_after_transform,score_transform,absolute_0_5_threshold_used,cross_predictor_threshold_policy,reference_predictor,common_proteins_with_reference,only_reference,only_predictor,length_mismatched_common_proteins,overlap_sequence_mismatched_proteins,exact_sequence_mismatched_proteins
trizod,20659,11456702,0,0.007,0.929,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
chezod,20659,11456702,0,-18.883,0.561,higher = more disorder,multiply by -1,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
softdis,20659,11456702,0,0.0,0.987,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
atlas,20659,11456702,0,0.106,6.049,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
plddt,20659,11456702,0,-124.664,-25.649,higher = more disorder,multiply by -1,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
disprot,20659,11456702,0,0.0,0.999,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
SETH,20659,11456702,0,0.0812,1.0,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
IUPred3,20659,11456702,0,-0.0292,1.0194,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
ADOPT,20659,9861047,0,-25.204641,6.66382,higher = more disorder,multiply by -1,False,within-predictor percentile/quantile,trizod,20659,0,0,2317,0,2317
metapredict,20659,11456702,0,0.0,1.0,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20659,0,0,0,67,67
PUNCH2_light,20077,9987102,0,0.0,1.0,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20077,582,0,0,0,0
DisoFLAG,20195,9997764,0,0.0001,0.9899,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20195,464,0,0,0,0
DisorderUnetLM,20659,11456702,0,1.032e-05,0.89767331,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20659,0,0,0,0,0
DisPredict3,20596,11187995,0,0.0,1.0,higher = more disorder,none,False,within-predictor percentile/quantile,trizod,20596,63,0,0,0,0
