,trizod,chezod,softdis,atlas,plddt,disprot,SETH,IUPred3,ADOPT,metapredict,PUNCH2_light,DisoFLAG,DisorderUnetLM,DisPredict3
trizod,100.0,91.72313649564376,68.92545982575024,50.91965150048403,74.68538238141336,77.83155856727977,76.86350435624395,59.341723136495645,75.07260406582769,70.57115198451113,75.4980079681275,38.91089108910891,47.77347531461762,35.58252427184466
chezod,91.72313649564376,100.0,66.5053242981607,53.58180058083253,70.95837366892546,80.25169409486931,76.5730880929332,57.405614714424004,74.10454985479187,69.31268151016457,77.49003984063745,41.18811881188119,49.56437560503388,37.52427184466019
softdis,68.92545982575024,66.5053242981607,100.0,49.08034849951597,74.20135527589545,55.90513068731849,59.293320425943854,59.09970958373669,55.130687318489834,51.161665053242984,64.39243027888446,28.514851485148515,29.670861568247823,25.097087378640776
atlas,50.91965150048403,53.58180058083253,49.08034849951597,100.0,35.43078412391094,53.82381413359148,50.04840271055179,44.43368828654405,42.35237173281704,38.04453049370765,49.65139442231076,47.17821782178218,47.8702807357212,50.24271844660194
plddt,74.68538238141336,70.95837366892546,74.20135527589545,35.43078412391094,100.0,62.7783155856728,66.4569215876089,53.000968054211036,66.55372700871249,65.29525653436592,68.12749003984064,24.306930693069308,31.55856727976767,20.679611650485437
disprot,77.83155856727977,80.25169409486931,55.90513068731849,53.82381413359148,62.7783155856728,100.0,73.95934172313649,54.21103581800581,71.29719264278799,70.7647628267183,75.14940239043824,47.37623762376238,58.5188770571152,46.116504854368934
SETH,76.86350435624395,76.5730880929332,59.293320425943854,50.04840271055179,66.4569215876089,73.95934172313649,100.0,57.35721200387221,76.0890609874153,71.53920619554695,74.60159362549801,45.198019801980195,56.87318489835431,42.23300970873787
IUPred3,59.341723136495645,57.405614714424004,59.09970958373669,44.43368828654405,53.000968054211036,54.21103581800581,57.35721200387221,100.0,55.80832526621491,55.324298160697,62.5,34.257425742574256,39.303000968054214,35.77669902912621
ADOPT,75.07260406582769,74.10454985479187,55.130687318489834,42.35237173281704,66.55372700871249,71.29719264278799,76.0890609874153,55.80832526621491,100.0,76.5246853823814,71.36454183266932,38.76237623762376,53.920619554695065,35.63106796116505
metapredict,70.57115198451113,69.31268151016457,51.161665053242984,38.04453049370765,65.29525653436592,70.7647628267183,71.53920619554695,55.324298160697,76.5246853823814,100.0,68.97410358565737,36.93069306930693,51.210067763794775,35.33980582524272
PUNCH2_light,75.4980079681275,77.49003984063745,64.39243027888446,49.65139442231076,68.12749003984064,75.14940239043824,74.60159362549801,62.5,71.36454183266932,68.97410358565737,100.0,43.97410358565737,53.286852589641434,38.99402390438247
DisoFLAG,38.91089108910891,41.18811881188119,28.514851485148515,47.17821782178218,24.306930693069308,47.37623762376238,45.198019801980195,34.257425742574256,38.76237623762376,36.93069306930693,43.97410358565737,100.0,68.06930693069307,61.92364898363907
DisorderUnetLM,47.77347531461762,49.56437560503388,29.670861568247823,47.8702807357212,31.55856727976767,58.5188770571152,56.87318489835431,39.303000968054214,53.920619554695065,51.210067763794775,53.286852589641434,68.06930693069307,100.0,60.19417475728155
DisPredict3,35.58252427184466,37.52427184466019,25.097087378640776,50.24271844660194,20.679611650485437,46.116504854368934,42.23300970873787,35.77669902912621,35.63106796116505,35.33980582524272,38.99402390438247,61.92364898363907,60.19417475728155,100.0
