predictor_a,predictor_b,common_proteins,proteins_per_top_10_percent,shared_top_10_percent_proteins,top_10_percent_overlap
trizod,chezod,20659,2066,1895,91.72313649564376
chezod,disprot,20659,2066,1658,80.25169409486931
trizod,disprot,20659,2066,1608,77.83155856727977
chezod,PUNCH2_light,20077,2008,1556,77.49003984063745
trizod,SETH,20659,2066,1588,76.86350435624395
chezod,SETH,20659,2066,1582,76.5730880929332
ADOPT,metapredict,20659,2066,1581,76.5246853823814
SETH,ADOPT,20659,2066,1572,76.0890609874153
trizod,PUNCH2_light,20077,2008,1516,75.4980079681275
disprot,PUNCH2_light,20077,2008,1509,75.14940239043824
trizod,ADOPT,20659,2066,1551,75.07260406582769
trizod,plddt,20659,2066,1543,74.68538238141336
SETH,PUNCH2_light,20077,2008,1498,74.60159362549801
softdis,plddt,20659,2066,1533,74.20135527589545
chezod,ADOPT,20659,2066,1531,74.10454985479187
disprot,SETH,20659,2066,1528,73.95934172313649
SETH,metapredict,20659,2066,1478,71.53920619554695
ADOPT,PUNCH2_light,20077,2008,1433,71.36454183266932
disprot,ADOPT,20659,2066,1473,71.29719264278799
chezod,plddt,20659,2066,1466,70.95837366892546
disprot,metapredict,20659,2066,1462,70.7647628267183
trizod,metapredict,20659,2066,1458,70.57115198451113
chezod,metapredict,20659,2066,1432,69.31268151016457
metapredict,PUNCH2_light,20077,2008,1385,68.97410358565737
trizod,softdis,20659,2066,1424,68.92545982575024
plddt,PUNCH2_light,20077,2008,1368,68.12749003984064
DisoFLAG,DisorderUnetLM,20195,2020,1375,68.06930693069307
plddt,ADOPT,20659,2066,1375,66.55372700871249
chezod,softdis,20659,2066,1374,66.5053242981607
plddt,SETH,20659,2066,1373,66.4569215876089
plddt,metapredict,20659,2066,1349,65.29525653436592
softdis,PUNCH2_light,20077,2008,1293,64.39243027888446
plddt,disprot,20659,2066,1297,62.7783155856728
IUPred3,PUNCH2_light,20077,2008,1255,62.5
DisoFLAG,DisPredict3,20168,2017,1249,61.92364898363907
DisorderUnetLM,DisPredict3,20596,2060,1240,60.19417475728155
trizod,IUPred3,20659,2066,1226,59.341723136495645
softdis,SETH,20659,2066,1225,59.293320425943854
softdis,IUPred3,20659,2066,1221,59.09970958373669
disprot,DisorderUnetLM,20659,2066,1209,58.5188770571152
chezod,IUPred3,20659,2066,1186,57.405614714424004
SETH,IUPred3,20659,2066,1185,57.35721200387221
SETH,DisorderUnetLM,20659,2066,1175,56.87318489835431
softdis,disprot,20659,2066,1155,55.90513068731849
IUPred3,ADOPT,20659,2066,1153,55.80832526621491
IUPred3,metapredict,20659,2066,1143,55.324298160697
softdis,ADOPT,20659,2066,1139,55.130687318489834
disprot,IUPred3,20659,2066,1120,54.21103581800581
ADOPT,DisorderUnetLM,20659,2066,1114,53.920619554695065
atlas,disprot,20659,2066,1112,53.82381413359148
chezod,atlas,20659,2066,1107,53.58180058083253
PUNCH2_light,DisorderUnetLM,20077,2008,1070,53.286852589641434
plddt,IUPred3,20659,2066,1095,53.000968054211036
metapredict,DisorderUnetLM,20659,2066,1058,51.210067763794775
softdis,metapredict,20659,2066,1057,51.161665053242984
trizod,atlas,20659,2066,1052,50.91965150048403
atlas,DisPredict3,20596,2060,1035,50.24271844660194
atlas,SETH,20659,2066,1034,50.04840271055179
atlas,PUNCH2_light,20077,2008,997,49.65139442231076
chezod,DisorderUnetLM,20659,2066,1024,49.56437560503388
softdis,atlas,20659,2066,1014,49.08034849951597
atlas,DisorderUnetLM,20659,2066,989,47.8702807357212
trizod,DisorderUnetLM,20659,2066,987,47.77347531461762
disprot,DisoFLAG,20195,2020,957,47.37623762376238
atlas,DisoFLAG,20195,2020,953,47.17821782178218
disprot,DisPredict3,20596,2060,950,46.116504854368934
SETH,DisoFLAG,20195,2020,913,45.198019801980195
atlas,IUPred3,20659,2066,918,44.43368828654405
PUNCH2_light,DisoFLAG,20077,2008,883,43.97410358565737
atlas,ADOPT,20659,2066,875,42.35237173281704
SETH,DisPredict3,20596,2060,870,42.23300970873787
chezod,DisoFLAG,20195,2020,832,41.18811881188119
IUPred3,DisorderUnetLM,20659,2066,812,39.303000968054214
PUNCH2_light,DisPredict3,20077,2008,783,38.99402390438247
trizod,DisoFLAG,20195,2020,786,38.91089108910891
ADOPT,DisoFLAG,20195,2020,783,38.76237623762376
atlas,metapredict,20659,2066,786,38.04453049370765
chezod,DisPredict3,20596,2060,773,37.52427184466019
metapredict,DisoFLAG,20195,2020,746,36.93069306930693
IUPred3,DisPredict3,20596,2060,737,35.77669902912621
ADOPT,DisPredict3,20596,2060,734,35.63106796116505
trizod,DisPredict3,20596,2060,733,35.58252427184466
atlas,plddt,20659,2066,732,35.43078412391094
metapredict,DisPredict3,20596,2060,728,35.33980582524272
IUPred3,DisoFLAG,20195,2020,692,34.257425742574256
plddt,DisorderUnetLM,20659,2066,652,31.55856727976767
softdis,DisorderUnetLM,20659,2066,613,29.670861568247823
softdis,DisoFLAG,20195,2020,576,28.514851485148515
softdis,DisPredict3,20596,2060,517,25.097087378640776
plddt,DisoFLAG,20195,2020,491,24.306930693069308
plddt,DisPredict3,20596,2060,426,20.679611650485437
