feature,top5_mean,background_mean,delta_top_minus_background
longest_hydrophobic_run,2.441696113074205,3.0593062290190227,-0.6176101159448177
hydropathy,-0.7703651354534746,-0.4837177670023623,-0.2866473684511123
possible_more_score,0.8333586772319913,0.6251492750280957,0.2082094022038956
percent_hydrophobic,0.3253239104829211,0.37389406937709807,-0.048570158894176985
tmh_like_score,0.04009883695697554,0.08270640996239925,-0.04260757300542371
nors_like_score,0.18130835849056093,0.14327659698542924,0.038031761505131684
coil_like_score,0.18532770579767052,0.15080386326274062,0.034523842534929905
frac_pro_gly,0.15217903415783274,0.12430560736043764,0.0278734267973951
low_complexity,0.19917550058892813,0.17341290563222678,0.025762594956701357
signal_peptide_like_score,0.05068266566436878,0.07160926175644092,-0.02092659609207214
frac_glycine,0.0911660777385159,0.07052467984582866,0.020641397892687235
net_charge,0.019434628975265017,0.007093124456048738,0.012341504519216279
frac_polar,0.2598351001177856,0.2487355464378963,0.011099553679889296
positive_fraction,0.15630153121319196,0.14567325624766878,0.010628274965523182
frac_aromatic,0.06972909305064783,0.07969911724480915,-0.00997002419416132
frac_charged,0.293168433451119,0.2842533880392888,0.008915045411830191
frac_proline,0.06101295641931684,0.05378092751460898,0.007232028904707859
negative_fraction,0.13686690223792697,0.13858013179162004,-0.0017132295536930742
frac_nonstandard,0.0,0.0,0.0
