feature,top5_mean,background_mean,delta_top_minus_background
longest_hydrophobic_run,2.402826855123675,3.0613577023498695,-0.6585308472261944
hydropathy,-0.8281743227326266,-0.4806666666666667,-0.3475076560659599
possible_more_score,0.8204604828332159,0.5995110985170522,0.22094938431616373
percent_hydrophobic,0.31542991755005884,0.37441626258858635,-0.05898634503852751
tmh_like_score,0.0364115018778816,0.08290102313423507,-0.04648952125635347
nors_like_score,0.18733611440948483,0.1429584591776979,0.04437765523178694
coil_like_score,0.19103468132443407,0.150502655863622,0.04053202546081208
frac_pro_gly,0.15394581861012954,0.12421235857267189,0.02973346003745765
low_complexity,0.20153121319199058,0.17328857391520577,0.028242639276784803
signal_peptide_like_score,0.04863019505737947,0.07171758872059199,-0.023087393663212517
frac_glycine,0.09199057714958775,0.07048116374487132,0.021509413404716432
frac_polar,0.2634864546525324,0.24854283227651375,0.01494362237601865
frac_aromatic,0.06537102473498234,0.07992913092129801,-0.014558106186315672
frac_charged,0.2975265017667844,0.28402337436279995,0.01350312740398446
positive_fraction,0.1568904593639576,0.14564217331841353,0.011248286045544065
net_charge,0.01625441696113074,0.007260972274027105,0.008993444687103638
frac_proline,0.06195524146054181,0.053731194827800574,0.008224046632741233
negative_fraction,0.14063604240282684,0.13838120104438642,0.0022548413584404237
frac_nonstandard,0.0,0.0,0.0
