strategy,target_dataset,trizod,chezod,softdis,pdbflex,atlas,plddt,disprot
global_convex_validation,all,0.9138328612748283,0.0,0.0,0.0,0.0,0.08616713872517158,0.0
per_target_convex_validation,trizod,0.9443331112817629,0.0,0.023040274452351458,0.0,0.002837313176643637,5.192525343639143e-06,0.02978410856389841
per_target_convex_validation,chezod,0.0,0.9997568765323327,0.0,0.0,0.0,0.00024312346766733437,0.0
per_target_convex_validation,softdis,0.0,0.0,1.0,0.0,0.0,0.0,0.0
per_target_convex_validation,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
per_target_convex_validation,atlas,4.2357755157304195e-08,7.572900214748153e-09,4.2377778442341e-08,4.2598615113262615e-08,0.9999998229089517,0.0,4.218399915073879e-08
per_target_convex_validation,plddt,0.0,0.0,0.0,0.0,0.0,1.0,0.0
per_target_convex_validation,disprot,0.0,0.0005538315574165902,0.0,0.0,0.0,0.0,0.9994461684425835
per_target_ceiling_aware_validation,trizod,0.32945839899133367,0.14582119757299472,0.13687527748791525,0.01124429196076774,0.12635870848239714,0.12799208519073002,0.12225004031386152
per_target_ceiling_aware_validation,chezod,0.17669604410065956,0.37152813245876104,0.09076123023214233,0.0,0.056800426336377496,0.1765520293737644,0.12766213749829514
per_target_ceiling_aware_validation,softdis,0.0512148907311263,0.026211828920568676,0.558130052394668,0.008196729533708822,0.09824041401087165,0.13201715055217064,0.12598893385688595
per_target_ceiling_aware_validation,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,-0.0
per_target_ceiling_aware_validation,atlas,0.0,0.0,0.18624476285791375,0.020841176286731433,0.5990298933108984,0.03355562754548606,0.16032853999897026
per_target_ceiling_aware_validation,plddt,0.12262008423625685,0.169059551833264,0.1877477823016611,0.0015246292880131288,0.07768771019585453,0.30829765932579917,0.13306258281915123
per_target_ceiling_aware_validation,disprot,0.13892995708718334,0.12825875933323974,0.13435638325079927,0.0,0.12450529315808255,0.1255606468755336,0.3483889602951616
ceiling_aware_selected_single_head,trizod,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ceiling_aware_selected_single_head,chezod,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ceiling_aware_selected_single_head,softdis,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ceiling_aware_selected_single_head,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ceiling_aware_selected_single_head,atlas,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ceiling_aware_selected_single_head,plddt,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ceiling_aware_selected_single_head,disprot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
