dataset,udonpred_id,sequence_length,valid_annotated_residues,match_mode,n_human_matches,human_accessions,human_genes,example_human_header
trizod,15599_1_1_1,125,119,sequence,1,Q9NRX4,PHPT1,sp|Q9NRX4|PHP14_HUMAN 14 kDa phosphohistidine phosphatase OS=Homo sapiens OX=9606 GN=PHPT1 PE=1 SV=1
trizod,28028_1_1_1,154,152,sequence,1,P68036,UBE2L3,sp|P68036|UB2L3_HUMAN Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens OX=9606 GN=UBE2L3 PE=1 SV=1
trizod,25150_1_1_1,151,145,sequence,1,Q96B02,UBE2W,sp|Q96B02|UBE2W_HUMAN Ubiquitin-conjugating enzyme E2 W OS=Homo sapiens OX=9606 GN=UBE2W PE=1 SV=1
trizod,16904_1_1_1,140,138,sequence,1,P37840,SNCA,sp|P37840|SYUA_HUMAN Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1
chezod,6974,160,157,sequence,1,Q15185,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1
chezod,6968,140,138,sequence,1,P37840,SNCA,sp|P37840|SYUA_HUMAN Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1
chezod,7279,107,105,sequence,1,P17096,HMGA1,sp|P17096|HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3
chezod,15136,121,115,sequence,1,O43768,ENSA,sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1
chezod,19332,111,108,sequence,1,Q15004,PCLAF,sp|Q15004|PAF15_HUMAN PCNA-associated factor OS=Homo sapiens OX=9606 GN=PCLAF PE=1 SV=1
softdis,1cm8_A,367,367,sequence,1,P53778,MAPK12,sp|P53778|MK12_HUMAN Mitogen-activated protein kinase 12 OS=Homo sapiens OX=9606 GN=MAPK12 PE=1 SV=3
softdis,1zd8_A,227,227,sequence,1,Q9UIJ7,AK3,"sp|Q9UIJ7|KAD3_HUMAN GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens OX=9606 GN=AK3 PE=1 SV=4"
softdis,2f9d_A,125,125,sequence,1,Q9Y3B4,SF3B6,sp|Q9Y3B4|SF3B6_HUMAN Splicing factor 3B subunit 6 OS=Homo sapiens OX=9606 GN=SF3B6 PE=1 SV=1
softdis,3cw1_F,86,86,sequence,1,P62306,SNRPF,sp|P62306|RUXF_HUMAN Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1
softdis,3gj9_A,124,124,sequence,1,O14907,TAX1BP3,sp|O14907|TX1B3_HUMAN Tax1-binding protein 3 OS=Homo sapiens OX=9606 GN=TAX1BP3 PE=1 SV=2
softdis,3nsi_A,101,101,sequence,1,P33764,S100A3,sp|P33764|S10A3_HUMAN Protein S100-A3 OS=Homo sapiens OX=9606 GN=S100A3 PE=1 SV=1
softdis,4ora_B,170,170,sequence,1,P63098,PPP3R1,sp|P63098|CANB1_HUMAN Calcineurin subunit B type 1 OS=Homo sapiens OX=9606 GN=PPP3R1 PE=1 SV=2
softdis,5b6m_A,224,224,sequence,1,P30041,PRDX6,sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3
softdis,5tbk_I,421,421,sequence,1,P18754,RCC1,sp|P18754|RCC1_HUMAN Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1
softdis,5xjr_E,92,92,sequence,1,P62304,SNRPE,sp|P62304|RUXE_HUMAN Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1
softdis,5xjr_G,76,76,sequence,1,P62308,SNRPG,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1
softdis,6dv5_B,205,205,sequence,1,P04792,HSPB1,sp|P04792|HSPB1_HUMAN Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2
softdis,6l4b_A,375,375,sequence,1,Q9UGV2,NDRG3,sp|Q9UGV2|NDRG3_HUMAN Protein NDRG3 OS=Homo sapiens OX=9606 GN=NDRG3 PE=1 SV=2
softdis,6nf3_A,83,83,sequence,1,P02654,APOC1,sp|P02654|APOC1_HUMAN Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1
softdis,8bbk_J,136,136,sequence,1,Q86WX3,RPS19BP1,sp|Q86WX3|AROS_HUMAN Active regulator of SIRT1 OS=Homo sapiens OX=9606 GN=RPS19BP1 PE=1 SV=1
softdis,8e0a_A,198,198,sequence,1,Q9Y6B6,SAR1B,sp|Q9Y6B6|SAR1B_HUMAN Small COPII coat GTPase SAR1B OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1
softdis,8enj_A,464,464,sequence,1,P53779,MAPK10,sp|P53779|MK10_HUMAN Mitogen-activated protein kinase 10 OS=Homo sapiens OX=9606 GN=MAPK10 PE=1 SV=2
pdbflex,1j1cB,420,420,sequence,1,P49841,GSK3B,sp|P49841|GSK3B_HUMAN Glycogen synthase kinase-3 beta OS=Homo sapiens OX=9606 GN=GSK3B PE=1 SV=2
pdbflex,1kwpA,400,400,sequence,1,P49137,MAPKAPK2,sp|P49137|MAPK2_HUMAN MAP kinase-activated protein kinase 2 OS=Homo sapiens OX=9606 GN=MAPKAPK2 PE=1 SV=1
pdbflex,2gwoC,198,198,sequence,1,Q9UII6,DUSP13B,sp|Q9UII6|DS13B_HUMAN Dual specificity protein phosphatase 13B OS=Homo sapiens OX=9606 GN=DUSP13B PE=1 SV=3
pdbflex,3k9mC,98,98,sequence,1,P01040,CSTA,sp|P01040|CYTA_HUMAN Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1
pdbflex,3nsiB,101,101,sequence,1,P33764,S100A3,sp|P33764|S10A3_HUMAN Protein S100-A3 OS=Homo sapiens OX=9606 GN=S100A3 PE=1 SV=1
pdbflex,3pgwF,86,86,sequence,1,P62306,SNRPF,sp|P62306|RUXF_HUMAN Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1
pdbflex,3pgwG,76,76,sequence,1,P62308,SNRPG,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1
pdbflex,3pgwH,92,92,sequence,1,P62304,SNRPE,sp|P62304|RUXE_HUMAN Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1
pdbflex,3wimA,117,117,sequence,1,O95166,GABARAP,sp|O95166|GBRAP_HUMAN Gamma-aminobutyric acid receptor-associated protein OS=Homo sapiens OX=9606 GN=GABARAP PE=1 SV=1
pdbflex,4wpnA,501,501,sequence,1,P00352,ALDH1A1,sp|P00352|AL1A1_HUMAN Aldehyde dehydrogenase 1A1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2
pdbflex,5b6nF,224,224,sequence,1,P30041,PRDX6,sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3
pdbflex,5tbkI,421,421,sequence,1,P18754,RCC1,sp|P18754|RCC1_HUMAN Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1
pdbflex,6dv5A,205,205,sequence,1,P04792,HSPB1,sp|P04792|HSPB1_HUMAN Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2
pdbflex,6dxrB,83,83,sequence,1,P02654,APOC1,sp|P02654|APOC1_HUMAN Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1
plddt,DP00028,118,118,sequence,1,Q13541,EIF4EBP1,sp|Q13541|4EBP1_HUMAN Eukaryotic translation initiation factor 4E-binding protein 1 OS=Homo sapiens OX=9606 GN=EIF4EBP1 PE=1 SV=3
plddt,DP00040,107,107,sequence,1,P17096,HMGA1,sp|P17096|HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3
plddt,DP00069,116,116,sequence,1,P63027,VAMP2,sp|P63027|VAMP2_HUMAN Vesicle-associated membrane protein 2 OS=Homo sapiens OX=9606 GN=VAMP2 PE=1 SV=3
plddt,DP00070,140,140,sequence,1,P37840,SNCA,sp|P37840|SYUA_HUMAN Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1
plddt,DP00119,310,310,sequence,1,P10163,PRB4,sp|P10163|PRB4_HUMAN Basic salivary proline-rich protein 4 OS=Homo sapiens OX=9606 GN=PRB4 PE=1 SV=4
plddt,DP00153,189,189,sequence,1,P01112,HRAS,sp|P01112|RASH_HUMAN GTPase HRas OS=Homo sapiens OX=9606 GN=HRAS PE=1 SV=1
plddt,DP00297,239,239,sequence,1,P10415,BCL2,sp|P10415|BCL2_HUMAN Apoptosis regulator Bcl-2 OS=Homo sapiens OX=9606 GN=BCL2 PE=1 SV=2
plddt,DP00298,233,233,sequence,1,Q07817,BCL2L1,sp|Q07817|B2CL1_HUMAN Bcl-2-like protein 1 OS=Homo sapiens OX=9606 GN=BCL2L1 PE=1 SV=1
plddt,DP00304,481,481,sequence,1,P31751,AKT2,sp|P31751|AKT2_HUMAN RAC-beta serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=AKT2 PE=1 SV=2
plddt,DP00322,313,313,sequence,1,P11309,PIM1,sp|P11309|PIM1_HUMAN Serine/threonine-protein kinase pim-1 OS=Homo sapiens OX=9606 GN=PIM1 PE=1 SV=4
plddt,DP00357,44,44,sequence,1,P62328,TMSB4X,sp|P62328|TYB4_HUMAN Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2
plddt,DP00358,160,160,sequence,1,Q15185,PTGES3,sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1
plddt,DP00364,184,184,sequence,1,Q15382,RHEB,sp|Q15382|RHEB_HUMAN GTP-binding protein Rheb OS=Homo sapiens OX=9606 GN=RHEB PE=1 SV=1
plddt,DP00372,106,106,sequence,1,Q9NR00,TCIM,sp|Q9NR00|TCIM_HUMAN Transcriptional and immune response regulator OS=Homo sapiens OX=9606 GN=TCIM PE=1 SV=2
plddt,DP00385,420,420,sequence,1,P49841,GSK3B,sp|P49841|GSK3B_HUMAN Glycogen synthase kinase-3 beta OS=Homo sapiens OX=9606 GN=GSK3B PE=1 SV=2
plddt,DP00445,175,175,sequence,1,P02511,CRYAB,sp|P02511|CRYAB_HUMAN Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2
plddt,DP00510,82,82,sequence,1,O60356,NUPR1,sp|O60356|NUPR1_HUMAN Nuclear protein 1 OS=Homo sapiens OX=9606 GN=NUPR1 PE=1 SV=1
plddt,DP00543,63,63,sequence,1,Q14061,COX17,sp|Q14061|COX17_HUMAN Cytochrome c oxidase copper chaperone OS=Homo sapiens OX=9606 GN=COX17 PE=1 SV=2
plddt,DP00553,848,848,sequence,1,Q9NZ94,NLGN3,sp|Q9NZ94|NLGN3_HUMAN Neuroligin-3 OS=Homo sapiens OX=9606 GN=NLGN3 PE=1 SV=2
plddt,DP00555,134,134,sequence,1,Q16143,SNCB,sp|Q16143|SYUB_HUMAN Beta-synuclein OS=Homo sapiens OX=9606 GN=SNCB PE=1 SV=1
plddt,DP00565,170,170,sequence,1,P63098,PPP3R1,sp|P63098|CANB1_HUMAN Calcineurin subunit B type 1 OS=Homo sapiens OX=9606 GN=PPP3R1 PE=1 SV=2
plddt,DP00581,206,206,sequence,1,P11233,RALA,sp|P11233|RALA_HUMAN Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1
plddt,DP00607,210,210,sequence,1,Q16595,FXN,"sp|Q16595|FRDA_HUMAN Frataxin, mitochondrial OS=Homo sapiens OX=9606 GN=FXN PE=1 SV=2"
plddt,DP00630,127,127,sequence,1,O76070,SNCG,sp|O76070|SYUG_HUMAN Gamma-synuclein OS=Homo sapiens OX=9606 GN=SNCG PE=1 SV=2
plddt,DP00652,154,154,sequence,1,P00441,SOD1,sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2
plddt,DP00704,165,165,sequence,1,P24522,GADD45A,sp|P24522|GA45A_HUMAN Growth arrest and DNA damage-inducible protein GADD45 alpha OS=Homo sapiens OX=9606 GN=GADD45A PE=1 SV=1
plddt,DP00795,44,44,sequence,1,P62328,TMSB4X,sp|P62328|TYB4_HUMAN Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2
plddt,DP00841,419,419,sequence,1,O14733,MAP2K7,sp|O14733|MP2K7_HUMAN Dual specificity mitogen-activated protein kinase kinase 7 OS=Homo sapiens OX=9606 GN=MAP2K7 PE=1 SV=2
plddt,DP00910,113,113,sequence,1,P41567,EIF1,sp|P41567|EIF1_HUMAN Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1
plddt,DP01054,98,98,sequence,1,P04080,CSTB,sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2
plddt,DP01131,160,160,sequence,1,O14558,HSPB6,sp|O14558|HSPB6_HUMAN Heat shock protein beta-6 OS=Homo sapiens OX=9606 GN=HSPB6 PE=1 SV=2
plddt,DP01157,130,130,sequence,1,P04908,H2AC4,sp|P04908|H2A1B_HUMAN Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC4 PE=1 SV=2
