predictor_a,predictor_b,common_proteins,proteins_per_top_10_percent,shared_top_10_percent_proteins,top_10_percent_overlap,top_10_percent_overlap_se
trizod,chezod,20659,2066,1895,91.72313649564376,0.5750926070493043
trizod,softdis,20659,2066,1424,68.92545982575024,0.9659566374033101
trizod,atlas,20659,2066,1052,50.91965150048403,1.0434267580164995
trizod,plddt,20659,2066,1543,74.68538238141336,0.9075465910050613
trizod,disprot,20659,2066,1608,77.83155856727977,0.8669836023270897
trizod,PUNCH2_light,20077,2008,1516,75.4980079681275,0.9105735999651207
trizod,DisoFLAG,20195,2020,786,38.91089108910891,1.0291242987799443
trizod,DisorderUnetLM,20659,2066,987,47.77347531461762,1.0425680725001207
trizod,DisPredict3,20596,2060,733,35.58252427184466,1.000722652030347
chezod,softdis,20659,2066,1374,66.5053242981607,0.9851027601515604
chezod,atlas,20659,2066,1107,53.58180058083253,1.0409221171035163
chezod,plddt,20659,2066,1466,70.95837366892546,0.9474967580702308
chezod,disprot,20659,2066,1658,80.25169409486931,0.8309166604900502
chezod,PUNCH2_light,20077,2008,1556,77.49003984063745,0.8842130421473771
chezod,DisoFLAG,20195,2020,832,41.18811881188119,1.0388883187691238
chezod,DisorderUnetLM,20659,2066,1024,49.56437560503388,1.0435636909192152
chezod,DisPredict3,20596,2060,773,37.52427184466019,1.012057766770742
softdis,atlas,20659,2066,1014,49.08034849951597,1.0434267580164995
softdis,plddt,20659,2066,1533,74.20135527589545,0.913208203696708
softdis,disprot,20659,2066,1155,55.90513068731849,1.036299534157709
softdis,PUNCH2_light,20077,2008,1293,64.39243027888446,1.013760081311952
softdis,DisoFLAG,20195,2020,576,28.514851485148515,0.953002012944173
softdis,DisorderUnetLM,20659,2066,613,29.670861568247823,0.9534505349143999
softdis,DisPredict3,20596,2060,517,25.097087378640776,0.9062635568607342
atlas,plddt,20659,2066,732,35.43078412391094,0.998317255199241
atlas,disprot,20659,2066,1112,53.82381413359148,1.0405470044560499
atlas,PUNCH2_light,20077,2008,997,49.65139442231076,1.0585370408841674
atlas,DisoFLAG,20195,2020,953,47.17821782178218,1.0537258630346766
atlas,DisorderUnetLM,20659,2066,989,47.8702807357212,1.0426561753553707
atlas,DisPredict3,20596,2060,1035,50.24271844660194,1.0451013031896526
plddt,disprot,20659,2066,1297,62.7783155856728,1.0089468302440177
plddt,PUNCH2_light,20077,2008,1368,68.12749003984064,0.986542816042001
plddt,DisoFLAG,20195,2020,491,24.306930693069308,0.9054062089430435
plddt,DisorderUnetLM,20659,2066,652,31.55856727976767,0.9700265582377698
plddt,DisPredict3,20596,2060,426,20.679611650485437,0.8465587586092556
disprot,PUNCH2_light,20077,2008,1509,75.14940239043824,0.9149087801503302
disprot,DisoFLAG,20195,2020,957,47.37623762376238,1.0539538164100564
disprot,DisorderUnetLM,20659,2066,1209,58.5188770571152,1.0283446280868178
disprot,DisPredict3,20596,2060,950,46.116504854368934,1.0419564651626694
PUNCH2_light,DisoFLAG,20077,2008,883,43.97410358565737,1.0508470653679385
PUNCH2_light,DisorderUnetLM,20077,2008,1070,53.286852589641434,1.0562730780270506
PUNCH2_light,DisPredict3,20077,2008,783,38.99402390438247,1.0325993042968975
DisoFLAG,DisorderUnetLM,20195,2020,1375,68.06930693069307,0.9840795027285322
DisoFLAG,DisPredict3,20168,2017,1249,61.92364898363907,1.0257289452410912
DisorderUnetLM,DisPredict3,20596,2060,1240,60.19417475728155,1.0231611714016706
