,trizod,chezod,softdis,atlas,plddt,disprot,PUNCH2_light,DisoFLAG,DisorderUnetLM,DisPredict3
trizod,1.0,0.9800456857199878,0.9225562526695278,0.9180270352441464,0.935306271339958,0.9581506329168,0.9420678257024201,0.7293556046197484,0.7104459706520199,0.5248346003502745
chezod,0.9800456857199878,1.0,0.896201521464852,0.8926325824775458,0.9098453219997648,0.9345521192285824,0.9177733715854001,0.7069989279511496,0.6798672680784608,0.4842262944166819
softdis,0.9225562526695278,0.896201521464852,1.0,0.9124075535981232,0.9234853798611949,0.9176916737159738,0.9309275761073488,0.698852295419574,0.6522050675075116,0.48110045607878643
atlas,0.9180270352441464,0.8926325824775458,0.9124075535981232,1.0,0.8540500288197628,0.9332638899244254,0.8967377891021399,0.7447707239557688,0.7174050074760006,0.5846980167305844
plddt,0.935306271339958,0.9098453219997648,0.9234853798611949,0.8540500288197628,1.0,0.9423522773046812,0.9313647647947311,0.6814985082808122,0.6609156507525549,0.4553893588514303
disprot,0.9581506329168,0.9345521192285824,0.9176916737159738,0.9332638899244254,0.9423522773046812,1.0,0.941182074628901,0.7861979735418794,0.7577407193426287,0.5935318653048288
PUNCH2_light,0.9420678257024201,0.9177733715854001,0.9309275761073488,0.8967377891021399,0.9313647647947311,0.941182074628901,1.0,0.7291977387679289,0.7272576047384867,0.5370506903221607
DisoFLAG,0.7293556046197484,0.7069989279511496,0.698852295419574,0.7447707239557688,0.6814985082808122,0.7861979735418794,0.7291977387679289,1.0,0.8458264125892657,0.7308783322804714
DisorderUnetLM,0.7104459706520199,0.6798672680784608,0.6522050675075116,0.7174050074760006,0.6609156507525549,0.7577407193426287,0.7272576047384867,0.8458264125892657,1.0,0.7259441431703391
DisPredict3,0.5248346003502745,0.4842262944166819,0.48110045607878643,0.5846980167305844,0.4553893588514303,0.5935318653048288,0.5370506903221607,0.7308783322804714,0.7259441431703391,1.0
