,trizod,chezod,softdis,atlas,plddt,disprot,PUNCH2_light,DisoFLAG,DisorderUnetLM,DisPredict3
trizod,0.0,0.000274908967356035,0.0010359583677959751,0.001093962045598117,0.0008711416418591586,0.0005701798680199071,0.000794085493070535,0.003293773073768549,0.003446004662047213,0.005049027512700601
chezod,0.000274908967356035,0.0,0.001369469505107488,0.0014138902745669613,0.001198018016731053,0.0008809533485335797,0.0011129939592505842,0.003519757872388465,0.0037418117666082234,0.005334571117808792
softdis,0.0010359583677959751,0.001369469505107488,0.0,0.0011655314426547232,0.0010240241612773904,0.001098245520845396,0.0009413556238581535,0.003600356532394051,0.003998196063866777,0.005355598298413091
atlas,0.001093962045598117,0.0014138902745669613,0.0011655314426547232,0.0,0.0018827920240793998,0.0008976952258486556,0.001382393732714898,0.0031338570711315484,0.0033768679207616,0.0045861759202799
plddt,0.0008711416418591586,0.001198018016731053,0.0010240241612773904,0.0018827920240793998,0.0,0.0007790889457680404,0.0009356091714674955,0.00376893188228869,0.0039186115117096,0.005523387442766528
disprot,0.0005701798680199071,0.0008809533485335797,0.001098245520845396,0.0008976952258486556,0.0007790889457680404,0.0,0.0008058589142483206,0.002687520222087869,0.002962866778758382,0.004513645503374956
PUNCH2_light,0.000794085493070535,0.0011129939592505842,0.0009413556238581535,0.001382393732714898,0.0009356091714674955,0.0008058589142483206,0.0,0.003305064850818234,0.003325008836167611,0.005022323361352156
DisoFLAG,0.003293773073768549,0.003519757872388465,0.003600356532394051,0.0031338570711315484,0.00376893188228869,0.002687520222087869,0.003305064850818234,0.0,0.002002678176894781,0.003280319106526268
DisorderUnetLM,0.003446004662047213,0.0037418117666082234,0.003998196063866777,0.0033768679207616,0.0039186115117096,0.002962866778758382,0.003325008836167611,0.002002678176894781,0.0,0.003296142769767255
DisPredict3,0.005049027512700601,0.005334571117808792,0.005355598298413091,0.0045861759202799,0.005523387442766528,0.004513645503374956,0.005022323361352156,0.003280319106526268,0.003296142769767255,0.0
