,trizod,chezod,softdis,atlas,plddt,disprot,PUNCH2_light,DisoFLAG,DisorderUnetLM,DisPredict3
trizod,1.0,0.95522670994808,0.8148748014892028,0.8126764114678451,0.8542177859392875,0.8674061567658817,0.8289994801657957,0.6858984330060016,0.7149950879292688,0.581578719747568
chezod,0.95522670994808,1.0,0.8114312212795614,0.8040056341340677,0.8454690217368123,0.8550811670232601,0.822882172894161,0.6774605196287858,0.6992241991152328,0.5662166728925488
softdis,0.8148748014892028,0.8114312212795614,1.0,0.8553928602506139,0.8681324955955287,0.8633694587491084,0.8554552246906798,0.6858374333967511,0.7196729546715187,0.5865290116705819
atlas,0.8126764114678451,0.8040056341340677,0.8553928602506139,1.0,0.8131763461564299,0.8667737023012889,0.8307630865250398,0.677558628710529,0.7169450229539936,0.565429817030665
plddt,0.8542177859392875,0.8454690217368123,0.8681324955955287,0.8131763461564299,1.0,0.8940906757533613,0.8452780144265867,0.6832016436353027,0.7287269213984827,0.5692047822595555
disprot,0.8674061567658817,0.8550811670232601,0.8633694587491084,0.8667737023012889,0.8940906757533613,1.0,0.9000618346685721,0.7716097735144779,0.8025829739083721,0.6338172393478496
PUNCH2_light,0.8289994801657957,0.822882172894161,0.8554552246906798,0.8307630865250398,0.8452780144265867,0.9000618346685721,1.0,0.7659477867819022,0.8300406578694679,0.6665248394127865
DisoFLAG,0.6858984330060016,0.6774605196287858,0.6858374333967511,0.677558628710529,0.6832016436353027,0.7716097735144779,0.7659477867819022,1.0,0.8225095166664499,0.7380342645931808
DisorderUnetLM,0.7149950879292688,0.6992241991152328,0.7196729546715187,0.7169450229539936,0.7287269213984827,0.8025829739083721,0.8300406578694679,0.8225095166664499,1.0,0.6900986948730603
DisPredict3,0.581578719747568,0.5662166728925488,0.5865290116705819,0.565429817030665,0.5692047822595555,0.6338172393478496,0.6665248394127865,0.7380342645931808,0.6900986948730603,1.0
