,trizod,chezod,softdis,atlas,plddt,disprot,PUNCH2_light,DisoFLAG,DisorderUnetLM,DisPredict3
trizod,0.0,2.5863445369843513e-05,9.92618708668914e-05,0.00010031895524713497,7.986114504635393e-05,7.315304251205172e-05,9.896721182646757e-05,0.0001674750571730097,0.00014440607838900416,0.0001978465598934118
chezod,2.5863445369843513e-05,0.0,0.00010091643163365854,0.0001044604097752167,8.425439449895977e-05,7.942514071424296e-05,0.00010216477805004791,0.00017111331859696454,0.00015099543746330675,0.00020311809968315002
softdis,9.92618708668914e-05,0.00010091643163365854,0.0,7.926762855020544e-05,7.278061324640165e-05,7.521717361340383e-05,8.486589573127724e-05,0.00016750152060534157,0.00014242332126543288,0.00019611778823030453
atlas,0.00010031895524713497,0.0001044604097752167,7.926762855020544e-05,0.0,0.0001000788151221885,7.347707880052902e-05,9.804096241679112e-05,0.00017107127467047448,0.00014358115191182345,0.00020338431307059967
plddt,7.986114504635393e-05,8.425439449895977e-05,7.278061324640165e-05,0.0001000788151221885,0.0,5.926594472299186e-05,9.034292761879057e-05,0.0001686427560088781,0.0001385489822360657,0.0002021037737905112
disprot,7.315304251205172e-05,7.942514071424296e-05,7.521717361340383e-05,7.347707880052902e-05,5.926594472299186e-05,0.0,6.008684895444683e-05,0.00012796588583825514,0.00010513567770028771,0.0001788649704650245
PUNCH2_light,9.896721182646757e-05,0.00010216477805004791,8.486589573127724e-05,9.804096241679112e-05,9.034292761879057e-05,6.008684895444683e-05,0.0,0.00013078891395880933,9.84206213315898e-05,0.00017585535759936002
DisoFLAG,0.0001674750571730097,0.00017111331859696454,0.00016750152060534157,0.00017107127467047448,0.0001686427560088781,0.00012796588583825514,0.00013078891395880933,0.0,0.00010230420893239875,0.00014405130963645086
DisorderUnetLM,0.00014440607838900416,0.00015099543746330675,0.00014242332126543288,0.00014358115191182345,0.0001385489822360657,0.00010513567770028771,9.84206213315898e-05,0.00010230420893239875,0.0,0.00015658833202662347
DisPredict3,0.0001978465598934118,0.00020311809968315002,0.00019611778823030453,0.00020338431307059967,0.0002021037737905112,0.0001788649704650245,0.00017585535759936002,0.00014405130963645086,0.00015658833202662347,0.0
