strategy,trizod,chezod,softdis,pdbflex,atlas,plddt,"disprot
(AP)","disprot
(AUROC)"
best_individual_test_oracle,0.507852705821275,0.7077321197962272,0.6532203448403752,0.3953829392520549,0.7080625832530629,0.8389236848796651,0.9351623102224254,0.9587050187609455
simple_mean_all_heads,0.4542044621732448,0.6499373453268397,0.47026680278762545,0.10215691019259837,0.5295915970736383,0.837257281477289,0.8933241311522299,0.9368589581821261
same_dataset_head,0.507852705821275,0.6911235020271118,0.6532203448403752,0.3953829392520549,0.7080625832530629,0.8389236848796651,0.9351623102224254,0.9587050187609455
validation_selected_single_head,0.507852705821275,0.6911235020271118,0.6532203448403752,0.3953829392520549,0.7080625832530629,0.8389236848796651,0.9351623102224254,0.9587050187609455
exact_ceiling_weighted,0.4607667530153367,0.6792416893821611,0.5277955884938796,0.3953829392520549,0.7162571588272326,0.8395104864696904,0.9348774260802891,0.9591581926850296
mmseqs95_ceiling_weighted,0.4838869027013402,0.6856664200266119,0.5398328560738265,0.3953829392520549,0.7239425317042658,0.8395651459875791,0.8980555784005685,0.9389969365599056
mmseqs80_ceiling_weighted,0.4838746495135642,0.6855212808776524,0.5450909763582364,0.3953829392520549,0.7236899077635995,0.8395656838078485,0.8986073815309243,0.939133512275683
blended_exact_mmseqs_bio_weighted,0.48305984989799855,0.6862068758025643,0.5532137126323508,0.3953829392520549,0.7220339965373129,0.8394367836083946,0.9001983888688322,0.9400719522318836
ceiling_aware_selected_single_head,0.5078527331352234,0.6911235451698303,0.6532204747200012,0.3953828811645508,0.7080625295639038,0.8389238119125366,0.9351623058319092,0.9587050080299376
global_convex_validation,0.4344612956047058,0.6432051658630371,0.451417475938797,0.1033453941345214,0.5214722752571106,0.8388960957527161,0.8880374431610107,0.9338501691818236
per_target_convex_validation,0.5084795355796814,0.6911081075668335,0.6532204747200012,0.3953828811645508,0.7081676125526428,0.8389238119125366,0.9355020523071288,0.9587521553039552
per_target_ceiling_aware_validation,0.4561737179756164,0.661848247051239,0.4793854355812073,0.3953828811645508,0.6594666242599487,0.8389337062835693,0.8962899446487427,0.9380306005477904
global_ridge_stacking_validation,-0.4209695160388946,-0.6527520418167114,-0.2564865052700043,-0.122636929154396,-0.275614857673645,-0.5939308404922485,0.1907946169376373,0.1257252097129821
per_target_ridge_stacking_validation,0.5020101070404053,0.701849639415741,0.657004177570343,0.4339375793933868,0.6595749258995056,0.8468966484069824,0.9322581887245178,0.9539803266525269
