strategy,method_family,mean_score,mean_normalized_headroom,mean_delta_vs_best_individual,wins_vs_best_individual,ties_vs_best_individual,losses_vs_best_individual,best_delta_vs_best_individual,worst_delta_vs_best_individual
previous_best_individual_test_oracle,previous_ensemble,0.7131302431225777,0.5571130430980606,2.9769323769968103e-08,0,8,0,1.2987962605404135e-07,-5.8087504140047486e-08
new_best_individual_test_oracle,new_mmseqs_ceiling,0.7131302133532539,0.557112996330943,0.0,0,8,0,0.0,0.0
previous_per_target_convex_validation,previous_ensemble,0.7111920788884163,0.5528986412999046,-0.001938134464837593,4,3,1,0.0006268297584064442,-0.016624012229393692
previous_validation_selected_single_head,previous_ensemble,0.7110541611909866,0.5526342981076693,-0.002076052162267264,0,7,1,1.2987962605404135e-07,-0.016608574626396866
previous_ceiling_aware_selected_single_head,previous_ensemble,0.7110541611909866,0.5526342981076693,-0.002076052162267264,0,7,1,1.2987962605404135e-07,-0.016608574626396866
new_validation_selected_single_head,new_mmseqs_ceiling,0.7110541361321145,0.5526342615024393,-0.002076077221139422,0,7,1,0.0,-0.016608617769115375
new_same_dataset_head,new_mmseqs_ceiling,0.7110541361321145,0.5526342615024393,-0.002076077221139422,0,7,1,0.0,-0.016608617769115375
previous_per_target_ridge_stacking_validation,previous_ensemble,0.7109389491379261,0.5505296801342161,-0.0021912642153277886,3,0,5,0.038554640141331864,-0.04848765735355731
new_blended_exact_mmseqs_bio_weighted,new_mmseqs_ceiling,0.6899505623539239,0.5109112155924139,-0.023179650999329907,2,1,5,0.01397141328425,-0.10000663220802442
new_exact_ceiling_weighted,new_mmseqs_ceiling,0.6891237792757092,0.5215356384812865,-0.024006434077544624,3,1,4,0.008194575574169694,-0.12542475634649553
new_mmseqs80_ceiling_weighted,new_mmseqs_ceiling,0.6888582914224455,0.5087670104545994,-0.024271921930808474,2,1,5,0.01562732451053661,-0.10812936848213872
new_mmseqs95_ceiling_weighted,new_mmseqs_ceiling,0.688166163838269,0.5076913419951539,-0.024964049514984814,2,1,5,0.015879948451202885,-0.1133874887665487
previous_per_target_ceiling_aware_validation,previous_ensemble,0.6656888946890831,0.47333002596290774,-0.047441318664170805,1,1,6,1.0021403904270088e-05,-0.1738349092591679
new_simple_mean_all_heads,new_mmseqs_ceiling,0.609199686045699,0.3973541326894429,-0.10393052730755495,0,0,8,-0.0016664034023761154,-0.29322602905945655
previous_simple_mean_all_heads,previous_ensemble,0.6091996217146516,0.39735388666341026,-0.10393059163860231,0,0,8,-0.0016663592304035912,-0.2932258456675174
previous_global_convex_validation,previous_ensemble,0.6018356643617153,0.38457849743187605,-0.1112945489915386,0,0,8,-2.7589126949001397e-05,-0.29203754511753355
previous_global_ridge_stacking_validation,previous_ensemble,-0.25073385797441006,-1.331014590440883,-0.9638640713276639,0,0,8,-0.518019868406451,-1.4328545253719136
