strategy,mean_score,mean_normalized_headroom,mean_delta_vs_best_individual,mean_delta_vs_same_dataset_head,mean_delta_vs_validation_selected,wins_vs_best_individual,ties_vs_best_individual,losses_vs_best_individual,wins_vs_same_dataset_head,wins_vs_validation_selected,worst_delta_vs_same_dataset_head
best_individual_test_oracle,0.7131302133532539,0.557112996330943,0.0,0.002076077221139422,0.002076077221139422,0,8,0,1,1,0.0
per_target_convex_validation,0.7111920788884163,0.5528986412999046,-0.001938134464837593,0.00013794275630182873,0.00013794275630182873,4,3,1,4,4,-1.5394460278317368e-05
ceiling_aware_selected_single_head,0.7110541611909866,0.5526342981076693,-0.002076052162267264,2.5058872157868173e-08,2.5058872157868173e-08,0,7,1,0,0,-5.8087504140047486e-08
same_dataset_head,0.7110541361321145,0.5526342615024393,-0.002076077221139422,0.0,0.0,0,7,1,0,0,0.0
validation_selected_single_head,0.7110541361321145,0.5526342615024393,-0.002076077221139422,0.0,0.0,0,7,1,0,0,0.0
per_target_ridge_stacking_validation,0.7109389491379261,0.5505296801342161,-0.0021912642153277886,-0.00011518699418836681,-0.00011518699418836681,3,0,5,4,4,-0.04848765735355731
blended_exact_mmseqs_bio_weighted,0.6899505623539239,0.5109112155924139,-0.023179650999329907,-0.021103573778190485,-0.021103573778190485,2,1,5,2,2,-0.10000663220802442
exact_ceiling_weighted,0.6891237792757092,0.5215356384812865,-0.024006434077544624,-0.021930356856405202,-0.021930356856405202,3,1,4,3,3,-0.12542475634649553
mmseqs80_ceiling_weighted,0.6888582914224455,0.5087670104545994,-0.024271921930808474,-0.022195844709669052,-0.022195844709669052,2,1,5,2,2,-0.10812936848213872
mmseqs95_ceiling_weighted,0.688166163838269,0.5076913419951539,-0.024964049514984814,-0.022887972293845392,-0.022887972293845392,2,1,5,2,2,-0.1133874887665487
per_target_ceiling_aware_validation,0.6656888946890831,0.47333002596290774,-0.047441318664170805,-0.04536524144303138,-0.04536524144303138,1,1,6,1,1,-0.1738349092591679
simple_mean_all_heads,0.609199686045699,0.3973541326894429,-0.10393052730755495,-0.10185445008641553,-0.10185445008641553,0,0,8,0,0,-0.29322602905945655
global_convex_validation,0.6018356643617153,0.38457849743187605,-0.1112945489915386,-0.10921847177039917,-0.10921847177039917,0,0,8,0,0,-0.29203754511753355
global_ridge_stacking_validation,-0.25073385797441006,-1.331014590440883,-0.9638640713276639,-0.9617879941065245,-0.9617879941065245,0,0,8,0,0,-1.4328545253719136
