strategy,target_dataset,trizod,chezod,softdis,pdbflex,atlas,plddt,disprot
same_dataset_head,trizod,1.0,0.0,0.0,0.0,0.0,0.0,0.0
same_dataset_head,chezod,0.0,1.0,0.0,0.0,0.0,0.0,0.0
same_dataset_head,softdis,0.0,0.0,1.0,0.0,0.0,0.0,0.0
same_dataset_head,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
same_dataset_head,atlas,0.0,0.0,0.0,0.0,1.0,0.0,0.0
same_dataset_head,plddt,0.0,0.0,0.0,0.0,0.0,1.0,0.0
same_dataset_head,disprot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
validation_selected_single_head,trizod,1.0,0.0,0.0,0.0,0.0,0.0,0.0
validation_selected_single_head,chezod,0.0,1.0,0.0,0.0,0.0,0.0,0.0
validation_selected_single_head,softdis,0.0,0.0,1.0,0.0,0.0,0.0,0.0
validation_selected_single_head,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
validation_selected_single_head,atlas,0.0,0.0,0.0,0.0,1.0,0.0,0.0
validation_selected_single_head,plddt,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation_selected_single_head,disprot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_ceiling_weighted,trizod,0.7905084045127884,0.07263989130596626,0.0680665456513857,0.0020281028182194067,0.0,0.06675705571164028,0.0
exact_ceiling_weighted,chezod,0.07537577481298514,0.7788285124290879,0.02671296499249839,0.0,0.011101539882450915,0.10798120788297774,0.0
exact_ceiling_weighted,softdis,0.014532571652306314,0.00514050743732516,0.7791547622058155,0.0003726519900177803,0.018252315979108216,0.05113439377832675,0.13141279695710048
exact_ceiling_weighted,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
exact_ceiling_weighted,atlas,0.0,0.0,0.04817126146027743,0.0018993708407905028,0.9418009695755435,0.00812839812338869,0.0
exact_ceiling_weighted,plddt,0.05374468416092491,0.10146689180743768,0.10709762044895606,1.522822415225711e-05,0.019908472270685925,0.7177671030878433,0.0
exact_ceiling_weighted,disprot,0.0,0.0,0.09738735508288122,0.0,0.0,0.0,0.9026126449171188
mmseqs95_ceiling_weighted,trizod,0.7107053884143235,0.2115839482188889,0.022425887946618667,0.0010969964953584557,0.004131117205939914,0.05005666171887065,0.0
mmseqs95_ceiling_weighted,chezod,0.17476369801822278,0.6504026890559733,0.013312106927731231,0.0,0.05390266572963117,0.04261615309616119,0.06500268717228033
mmseqs95_ceiling_weighted,softdis,0.006396832187760043,0.004299573098765421,0.786688949439355,0.0011640747770191205,0.038948724543273736,0.04197315067471528,0.12052869527911134
mmseqs95_ceiling_weighted,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mmseqs95_ceiling_weighted,atlas,0.0,0.0,0.06831720351590577,0.010638496466938447,0.7843373530753555,0.003977451296406191,0.1327294956453942
mmseqs95_ceiling_weighted,plddt,0.0409958955265635,0.051177453017615525,0.06693786958639923,0.00460173221380352,0.011161039477396209,0.6585544905864442,0.16657151959177788
mmseqs95_ceiling_weighted,disprot,0.0,0.12280943363383087,0.024771099368676962,0.0,0.08155223642895269,0.12589633074842205,0.6449708998201175
mmseqs80_ceiling_weighted,trizod,0.7102156048188557,0.2111864483914698,0.02142244944330912,0.0010396515091655174,0.0061732248740762885,0.0499626209631237,0.0
mmseqs80_ceiling_weighted,chezod,0.17438406820263738,0.649967365034155,0.013381258878612703,0.0,0.05378557585752072,0.04362024670863212,0.06486148531844224
mmseqs80_ceiling_weighted,softdis,0.006194845683325649,0.004382776442260501,0.7906891070727956,0.0012989000880232375,0.03624466145104327,0.03848133896183453,0.12270837030071724
mmseqs80_ceiling_weighted,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mmseqs80_ceiling_weighted,atlas,0.0,0.0,0.064352449401114,0.008832509505796742,0.7924510319591666,0.004073975846529564,0.13029003328739322
mmseqs80_ceiling_weighted,plddt,0.04299326846416446,0.05505503556328929,0.06360352566676655,0.01083471720867021,0.01170481972469444,0.6687155345193082,0.1470930988531069
mmseqs80_ceiling_weighted,disprot,0.0,0.1488379953556289,0.026931142933820273,0.0,0.014646724489440112,0.12329058042129011,0.6862935567998207
blended_exact_mmseqs_bio_weighted,trizod,0.7694823094621408,0.15412367097450164,0.02284825582723195,0.000896755849335435,0.0044996196571964265,0.04163403326225998,0.00651535496733385
blended_exact_mmseqs_bio_weighted,chezod,0.1371070108907951,0.7317083428559712,0.01307241959948738,0.0,0.022552737142510743,0.04462499254388966,0.05093449696734587
blended_exact_mmseqs_bio_weighted,softdis,0.006357933981981567,0.0038243740367331094,0.826519668565399,0.000791041593371892,0.02752539778068781,0.03536664001046355,0.09961494403136292
blended_exact_mmseqs_bio_weighted,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
blended_exact_mmseqs_bio_weighted,atlas,0.0,0.0,0.05154360067812432,0.005869448075207357,0.8431476213281881,0.003965483693470054,0.09547384622501003
blended_exact_mmseqs_bio_weighted,plddt,0.03395928571103935,0.04955555439367424,0.05758084497361694,0.0035749253561438397,0.010640831073837507,0.7248640878199679,0.11982447067172025
blended_exact_mmseqs_bio_weighted,disprot,0.006069763877518211,0.10191704857710474,0.027821659771381797,0.0,0.020430841360078725,0.10349959665265338,0.7402610897612631
