train_dataset,test_metric,n,mean,std,q025,q500,q975,is_exploratory
atlas,atlas,1,-0.204216,,-0.204216,-0.204216,-0.204216,True
atlas,chezod,1,-0.445006,,-0.445006,-0.445006,-0.445006,True
atlas,"disprot
(AP)",1,0.197480,,0.197480,0.197480,0.197480,True
atlas,"disprot
(AUROC)",1,0.169990,,0.169990,0.169990,0.169990,True
atlas,pdbflex,1,0.114774,,0.114774,0.114774,0.114774,True
atlas,plddt,1,-0.456655,,-0.456655,-0.456655,-0.456655,True
atlas,softdis,1,0.074813,,0.074813,0.074813,0.074813,True
atlas,trizod,1,-0.126227,,-0.126227,-0.126227,-0.126227,True
chezod,atlas,1,-0.410959,,-0.410959,-0.410959,-0.410959,True
chezod,chezod,1,-0.207731,,-0.207731,-0.207731,-0.207731,True
chezod,"disprot
(AP)",1,0.227606,,0.227606,0.227606,0.227606,True
chezod,"disprot
(AUROC)",1,0.308080,,0.308080,0.308080,0.308080,True
chezod,pdbflex,1,-0.091588,,-0.091588,-0.091588,-0.091588,True
chezod,plddt,1,-0.361702,,-0.361702,-0.361702,-0.361702,True
chezod,softdis,1,-0.333484,,-0.333484,-0.333484,-0.333484,True
chezod,trizod,1,-0.296455,,-0.296455,-0.296455,-0.296455,True
disprot,atlas,1,-0.008855,,-0.008855,-0.008855,-0.008855,True
disprot,chezod,1,-0.100609,,-0.100609,-0.100609,-0.100609,True
disprot,"disprot
(AP)",1,0.298972,,0.298972,0.298972,0.298972,True
disprot,"disprot
(AUROC)",1,0.486466,,0.486466,0.486466,0.486466,True
disprot,pdbflex,1,0.067916,,0.067916,0.067916,0.067916,True
disprot,plddt,1,-0.074386,,-0.074386,-0.074386,-0.074386,True
disprot,softdis,1,0.009983,,0.009983,0.009983,0.009983,True
disprot,trizod,1,-0.041595,,-0.041595,-0.041595,-0.041595,True
pdbflex,atlas,1,0.234651,,0.234651,0.234651,0.234651,True
pdbflex,chezod,1,0.493628,,0.493628,0.493628,0.493628,True
pdbflex,"disprot
(AP)",1,0.587177,,0.587177,0.587177,0.587177,True
pdbflex,"disprot
(AUROC)",1,0.805662,,0.805662,0.805662,0.805662,True
pdbflex,pdbflex,1,-0.029903,,-0.029903,-0.029903,-0.029903,True
pdbflex,plddt,1,0.532814,,0.532814,0.532814,0.532814,True
pdbflex,softdis,1,-0.068753,,-0.068753,-0.068753,-0.068753,True
pdbflex,trizod,1,0.159663,,0.159663,0.159663,0.159663,True
plddt,atlas,1,-0.153042,,-0.153042,-0.153042,-0.153042,True
plddt,chezod,1,-0.268360,,-0.268360,-0.268360,-0.268360,True
plddt,"disprot
(AP)",1,0.201240,,0.201240,0.201240,0.201240,True
plddt,"disprot
(AUROC)",1,0.181045,,0.181045,0.181045,0.181045,True
plddt,pdbflex,1,0.051297,,0.051297,0.051297,0.051297,True
plddt,plddt,1,-0.499035,,-0.499035,-0.499035,-0.499035,True
plddt,softdis,1,-0.239072,,-0.239072,-0.239072,-0.239072,True
plddt,trizod,1,-0.217218,,-0.217218,-0.217218,-0.217218,True
softdis,atlas,1,0.210170,,0.210170,0.210170,0.210170,True
softdis,chezod,1,0.524019,,0.524019,0.524019,0.524019,True
softdis,"disprot
(AP)",1,0.628979,,0.628979,0.628979,0.628979,True
softdis,"disprot
(AUROC)",1,0.821124,,0.821124,0.821124,0.821124,True
softdis,pdbflex,1,0.003843,,0.003843,0.003843,0.003843,True
softdis,plddt,1,0.521781,,0.521781,0.521781,0.521781,True
softdis,softdis,1,-0.083614,,-0.083614,-0.083614,-0.083614,True
softdis,trizod,1,0.137679,,0.137679,0.137679,0.137679,True
trizod,atlas,1,-0.358341,,-0.358341,-0.358341,-0.358341,True
trizod,chezod,1,0.096605,,0.096605,0.096605,0.096605,True
trizod,"disprot
(AP)",1,0.382120,,0.382120,0.382120,0.382120,True
trizod,"disprot
(AUROC)",1,0.581186,,0.581186,0.581186,0.581186,True
trizod,pdbflex,1,-0.131159,,-0.131159,-0.131159,-0.131159,True
trizod,plddt,1,0.050424,,0.050424,0.050424,0.050424,True
trizod,softdis,1,-0.253083,,-0.253083,-0.253083,-0.253083,True
trizod,trizod,1,-0.115592,,-0.115592,-0.115592,-0.115592,True
