dataset_a,dataset_b,pair,primary_metric,exact_value,exact_residues,exact_proteins,mmseqs80_value,mmseqs80_residues,mmseqs80_proteins,expected_biological_similarity,concept_relation,delta_mmseqs80_minus_exact,residue_gain
trizod,chezod,trizod vs chezod,spearman,0.481978,138,1,0.940091,348,2,high,same annotation family,0.458113,210
chezod,atlas,chezod vs atlas,spearman,0.220828,372,2,0.623305,249,2,medium,related disorder concept,0.402477,-123
pdbflex,plddt,pdbflex vs plddt,spearman,0.0115,1412,6,0.339407,10785,55,low,different concept: flexibility vs disorder/proxy,0.327907,9373
pdbflex,atlas,pdbflex vs atlas,spearman,0.111006,2587,25,0.286866,7124,49,low,different concept: flexibility vs disorder/proxy,0.17586000000000002,4537
softdis,atlas,softdis vs atlas,spearman,0.315038,1558,17,0.436362,7528,55,medium,same annotation family,0.12132400000000004,5970
softdis,pdbflex,softdis vs pdbflex,spearman,0.07709,123212,748,0.141467,201384,1195,low,different concept: flexibility vs disorder/proxy,0.064377,78172
trizod,plddt,trizod vs plddt,spearman,0.504646,283,2,0.499411,1091,8,medium,related disorder concept,-0.005235000000000045,808
chezod,softdis,chezod vs softdis,spearman,0.33254,72,1,0.301812,1165,11,medium,related disorder concept,-0.030727999999999978,1093
trizod,pdbflex,trizod vs pdbflex,spearman,0.174514,525,4,0.142931,5502,47,low,different concept: flexibility vs disorder/proxy,-0.031583,4977
pdbflex,disprot,pdbflex vs disprot,auroc,0.307951,2335,7,0.274089,10212,30,low,different concept: flexibility vs disorder/proxy,-0.03386199999999995,7877
atlas,plddt,atlas vs plddt,spearman,0.295052,424,2,0.250323,737,5,medium,related disorder concept,-0.04472899999999996,313
softdis,disprot,softdis vs disprot,auroc,0.929907,2642,8,0.88324,12644,39,high,related disorder concept,-0.046667000000000014,10002
softdis,plddt,softdis vs plddt,spearman,0.656777,2521,10,0.560025,13219,61,high,related disorder concept,-0.09675200000000006,10698
chezod,plddt,chezod vs plddt,spearman,0.691031,1385,12,0.563213,4043,35,high,related disorder concept,-0.127818,2658
trizod,softdis,trizod vs softdis,spearman,0.481151,563,6,0.308778,5847,51,medium,related disorder concept,-0.172373,5284
atlas,disprot,atlas vs disprot,auroc,,0,0,0.843063,1337,3,unknown/no-overlap,unknown or weakly related,,1337
chezod,disprot,chezod vs disprot,auroc,,465,1,0.687011,563,2,unknown/no-overlap,unknown or weakly related,,98
chezod,pdbflex,chezod vs pdbflex,spearman,,0,0,0.122825,994,8,low,different concept: flexibility vs disorder/proxy,,994
plddt,disprot,plddt vs disprot,auroc,,0,0,0.88267,2461,18,unknown/no-overlap,unknown or weakly related,,2461
trizod,atlas,trizod vs atlas,spearman,,0,0,0.175862,1308,9,unknown/no-overlap,unknown or weakly related,,1308
trizod,disprot,trizod vs disprot,auroc,,0,0,,0,0,unknown/no-overlap,unknown or weakly related,,0
