dataset_a,dataset_b,match_mode,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes,primary_metric,family_a,family_b,expected_biological_similarity,expected_similarity_score,overlap_confidence,observed_strength,pair
softdis,pdbflex,sequence,748,123212,continuous,continuous,spearman,0.07709,0.5,,spearman,derived soft disorder,structural flexibility/dynamics,low,1.0,high,low,softdis vs pdbflex
trizod,softdis,sequence,6,563,continuous,continuous,spearman,0.481151,0.5,,spearman,NMR chemical-shift disorder,derived soft disorder,medium,2.0,low,medium,trizod vs softdis
atlas,plddt,sequence,2,424,continuous,continuous,spearman,0.295052,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100,spearman,derived soft disorder,AlphaFold confidence proxy,medium,2.0,low,low,atlas vs plddt
chezod,atlas,sequence,2,372,continuous,continuous,spearman,0.220828,0.5,CheZOD labels negated following existing project convention,spearman,NMR chemical-shift disorder,derived soft disorder,medium,2.0,low,low,chezod vs atlas
trizod,pdbflex,sequence,4,525,continuous,continuous,spearman,0.174514,0.5,,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,1.0,low,low,trizod vs pdbflex
chezod,disprot,sequence,1,465,continuous,binary,auroc,,0.5,CheZOD labels negated following existing project convention; AUROC/AP/F1 undefined because binary annotation has one class,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,,low,no estimate,chezod vs disprot
softdis,disprot,sequence,8,2642,continuous,binary,auroc,0.929907,0.5,,auroc,derived soft disorder,curated binary disorder,high,3.0,medium,high,softdis vs disprot
chezod,plddt,sequence,12,1385,continuous,continuous,spearman,0.691031,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,high,3.0,medium,high,chezod vs plddt
softdis,plddt,sequence,10,2521,continuous,continuous,spearman,0.656777,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100,spearman,derived soft disorder,AlphaFold confidence proxy,high,3.0,medium,high,softdis vs plddt
softdis,atlas,id+sequence,17,1558,continuous,continuous,spearman,0.315038,0.5,,spearman,derived soft disorder,derived soft disorder,medium,2.0,medium,medium,softdis vs atlas
pdbflex,disprot,sequence,7,2335,continuous,binary,auroc,0.307951,0.5,,auroc,structural flexibility/dynamics,curated binary disorder,low,1.0,medium,low,pdbflex vs disprot
pdbflex,atlas,sequence,25,2587,continuous,continuous,spearman,0.111006,0.5,,spearman,structural flexibility/dynamics,derived soft disorder,low,1.0,medium,low,pdbflex vs atlas
pdbflex,plddt,sequence,6,1412,continuous,continuous,spearman,0.0115,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100,spearman,structural flexibility/dynamics,AlphaFold confidence proxy,low,1.0,medium,low,pdbflex vs plddt
atlas,disprot,none,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,auroc,derived soft disorder,curated binary disorder,unknown/no-overlap,,no estimate,no estimate,atlas vs disprot
chezod,pdbflex,none,0,0,continuous,continuous,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,1.0,no estimate,no estimate,chezod vs pdbflex
plddt,disprot,none,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,auroc,AlphaFold confidence proxy,curated binary disorder,unknown/no-overlap,,no estimate,no estimate,plddt vs disprot
trizod,atlas,none,0,0,continuous,continuous,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,spearman,NMR chemical-shift disorder,derived soft disorder,unknown/no-overlap,,no estimate,no estimate,trizod vs atlas
trizod,disprot,none,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,,no estimate,no estimate,trizod vs disprot
trizod,plddt,sequence,2,283,continuous,continuous,spearman,0.504646,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,medium,2.0,very low,medium,trizod vs plddt
trizod,chezod,sequence,1,138,continuous,continuous,spearman,0.481978,0.5,CheZOD labels negated following existing project convention,spearman,NMR chemical-shift disorder,NMR chemical-shift disorder,high,3.0,very low,medium,trizod vs chezod
chezod,softdis,sequence,1,72,continuous,continuous,spearman,0.33254,0.5,CheZOD labels negated following existing project convention,spearman,NMR chemical-shift disorder,derived soft disorder,medium,2.0,very low,medium,chezod vs softdis
