18707_1_1_1	18707_1_1_1
26638_1_1_1	26638_1_1_1
18794_1_1_1	18794_1_1_1
19807_1_1_1	19807_1_1_1
19807_1_1_1	19806_1_1_1
53124_1_1_1	53124_1_1_1
26877_1_1_1	26877_1_1_1
26877_1_1_1	26878_1_1_1
26877_1_1_1	19731_1_1_1
26877_1_1_1	17404_1_1_1
26877_1_1_1	26876_1_1_1
27616_1_1_1	27616_1_1_1
27616_1_1_1	15695_1_1_1
27616_1_1_1	10277_1_1_1
51960_1_1_1	51960_1_1_1
15148_1_1_1	15148_1_1_1
25024_1_1_1	25024_1_1_1
18801_1_1_1	18801_1_1_1
25970_1_1_1	25970_1_1_1
36546_1_1_1	36546_1_1_1
50094_1_1_1	50094_1_1_1
25728_1_1_1	25728_1_1_1
11573_1_1_1	11573_1_1_1
11573_1_1_1	5461_2_1_1
11125_1_1_1	11125_1_1_1
11283_1_1_1	11283_1_1_1
27532_1_1_1	27532_1_1_1
28105_1_1_1	28105_1_1_1
15787_1_1_1	15787_1_1_1
26068_1_1_1	26068_1_1_1
18854_1_1_1	18854_1_1_1
18854_1_1_1	4430_1_1_1
18854_1_1_1	16033_1_1_1
16064_1_1_1	16064_1_1_1
30458_1_1_1	30458_1_1_1
30458_1_1_1	34526_1_1_1
30458_1_1_1	25135_1_1_1
30458_1_1_1	51061_1_1_1
18196_1_1_1	18196_1_1_1
30722_1_1_1	30722_1_1_1
30722_1_1_1	34539_1_1_1
30722_1_1_1	30861_1_1_1
51236_1_1_1	51236_1_1_1
51236_1_1_1	51230_1_1_1
51236_1_1_1	51234_1_1_1
51236_1_1_1	51235_1_1_1
51236_1_1_1	4926_1_1_1
51236_1_1_1	4974_1_1_1
51236_1_1_1	1870_1_1_1
18939_1_1_1	18939_1_1_1
16007_1_1_1	16007_1_1_1
16007_1_1_1	7271_1_1_1
17766_1_1_1	17766_1_1_1
30256_1_1_1	30256_1_1_1
50148_1_1_1	50148_1_1_1
50148_1_1_1	52787_1_1_1
50148_1_1_1	52785_1_1_1
50148_1_1_1	50143_1_1_1
50148_1_1_1	52788_1_1_1
50148_1_1_1	52786_1_1_1
50148_1_1_1	50145_1_1_1
50148_1_1_1	50801_1_1_1
30985_1_1_1	30985_1_1_1
30247_1_1_1	30247_1_1_1
30926_1_1_1	30926_1_1_1
27925_1_1_1	27925_1_1_1
26569_1_1_1	26569_1_1_1
16982_1_1_1	16982_1_1_1
25636_1_1_1	25636_1_1_1
30513_1_1_1	30513_1_1_1
16439_1_1_1	16439_1_1_1
19162_1_1_1	19162_1_1_1
26642_1_1_1	26642_1_1_1
34300_1_1_1	34300_1_1_1
19225_1_1_1	19225_1_1_1
25993_1_1_1	25993_1_1_1
25993_1_1_1	16173_1_1_1
25993_1_1_1	27170_1_1_1
25993_1_1_1	18953_1_1_1
25993_1_1_1	17576_1_1_1
25993_1_1_1	17582_1_1_1
25993_1_1_1	6253_1_1_1
30040_1_1_1	30040_1_1_1
30418_1_1_1	30418_1_1_1
26527_1_1_1	26527_1_1_1
26901_1_1_1	26901_1_1_1
16926_1_1_1	16926_1_1_1
16926_1_1_1	16424_1_1_1
15566_1_1_1	15566_1_1_1
11272_1_1_1	11272_1_1_1
11110_1_1_1	11110_1_1_1
11246_1_1_1	11246_1_1_1
10129_1_1_1	10129_1_1_1
27934_1_1_1	27934_1_1_1
17646_1_1_1	17646_1_1_1
25856_1_1_1	25856_1_1_1
25856_1_1_1	31199_1_1_1
25856_1_1_1	26649_1_1_1
25856_1_1_1	27349_1_1_1
25856_1_1_1	25656_1_1_1
17917_1_1_1	17917_1_1_1
16919_1_1_1	16919_1_1_1
16373_1_1_1	16373_1_1_1
18257_1_1_1	18257_1_1_1
27162_1_1_1	27162_1_1_1
27162_1_1_1	27793_1_1_1
27162_1_1_1	5939_1_1_1
17165_1_1_1	17165_1_1_1
17165_1_1_1	25809_1_1_1
17165_1_1_1	50302_1_1_1
17165_1_1_1	17166_1_1_1
17165_1_1_1	5782_1_1_1
17165_1_1_1	5783_1_1_1
17165_1_1_1	5784_1_1_1
17165_1_1_1	3078_1_1_1
51929_1_1_1	51929_1_1_1
30943_1_1_1	30943_1_1_1
30943_1_1_1	51105_1_1_1
50711_1_1_1	50711_1_1_1
11595_1_1_1	11595_1_1_1
16662_1_1_1	16662_1_1_1
19235_1_1_1	19235_1_1_1
16379_1_1_1	16379_1_1_1
34155_1_1_1	34155_1_1_1
19777_1_1_1	19777_1_1_1
30969_1_1_1	30969_1_1_1
15503_1_1_1	15503_1_1_1
16879_1_1_1	16879_1_1_1
30834_1_1_1	30834_1_1_1
