cluster_repr	member	best_repr	member_quality	best_repr_quality	quality_diff_vs_mmseqs	member_tier	member_ID	n_bb_pos	n_bb_types	max_potenci_off	max_lacs_off
10004_1_1_1	10004_1_1_1	10004_1_1_1	3001316.0	3001316.0	0.0	moderate	10004_1_1_1	188.0	7.0	0.0	0.49
10005_1_1_1	10005_1_1_1	10005_1_1_1	3000364.0	3000364.0	0.0	moderate	10005_1_1_1	52.0	7.0	0.0	1.83
10006_1_1_1	10006_1_1_1	10006_1_1_1	3000756.0	3000756.0	0.0	moderate	10006_1_1_1	108.0	7.0	0.0	1.2
10009_1_1_1	10009_1_1_1	10009_1_1_1	3000462.0	3000462.0	0.0	moderate	10009_1_1_1	66.0	7.0	0.0	0.52
10023_1_1_1	10023_1_1_1	10023_1_1_1	3001767.5146466903	3001767.5146466903	0.0	moderate	10023_1_1_1	295.0	6.0	2.4853533095	0.53
10024_1_1_1	7320_1_1_1	7320_1_1_1	3000490.0	3000490.0	0.0	moderate	7320_1_1_1	70.0	7.0	0.0	3.54
10024_1_1_1	10024_1_1_1	7320_1_1_1	3000420.0	3000490.0	70.0	moderate	10024_1_1_1	70.0	6.0	0.0	1.09
10025_1_1_1	10025_1_1_1	10025_1_1_1	4000679.0	4000679.0	0.0	strict	10025_1_1_1	97.0	7.0	0.0	0.29
10026_1_1_1	10026_1_1_1	10026_1_1_1	3000865.637355816	3000865.637355816	0.0	moderate	10026_1_1_1	124.0	7.0	2.3626441841	0.53
10028_1_1_1	10028_1_1_1	10028_1_1_1	4000301.0	4000301.0	0.0	strict	10028_1_1_1	43.0	7.0	0.0	1.42
10031_1_1_1	10031_1_1_1	10031_1_1_1	3000854.0	3000854.0	0.0	moderate	10031_1_1_1	122.0	7.0	0.0	0.79
10032_1_1_1	10032_1_1_1	10032_1_1_1	3000837.3107868712	3000837.3107868712	0.0	moderate	10032_1_1_1	120.0	7.0	2.6892131286	0.6
10033_1_1_1	10033_1_1_1	10033_1_1_1	3000607.0372417597	3000607.0372417597	0.0	moderate	10033_1_1_1	87.0	7.0	1.9627582405	0.26
10034_1_1_1	10034_1_1_1	10034_1_1_1	3000942.8518471755	3000942.8518471755	0.0	moderate	10034_1_1_1	135.0	7.0	2.1481528244	0.75
10035_1_1_1	10035_1_1_1	10035_1_1_1	3001019.1779699726	3001019.1779699726	0.0	moderate	10035_1_1_1	146.0	7.0	2.8220300276	0.9
10036_1_1_1	10036_1_1_1	10036_1_1_1	3001040.3452384886	3001040.3452384886	0.0	moderate	10036_1_1_1	149.0	7.0	2.6547615114	0.76
10037_1_1_1	10037_1_1_1	10037_1_1_1	3000690.108174009	3000690.108174009	0.0	moderate	10037_1_1_1	99.0	7.0	2.8918259914	0.69
10041_1_1_1	10041_1_1_1	10041_1_1_1	3000816.55014069	3000816.55014069	0.0	moderate	10041_1_1_1	117.0	7.0	2.4498593098	0.96
10043_1_1_1	10043_1_1_1	10043_1_1_1	3000676.5284112506	3000676.5284112506	0.0	moderate	10043_1_1_1	97.0	7.0	2.4715887495	1.27
10044_1_1_1	10044_1_1_1	10044_1_1_1	3000494.4812926673	3000494.4812926673	0.0	moderate	10044_1_1_1	71.0	7.0	2.5187073327	1.15
10046_1_1_1	10046_1_1_1	10046_1_1_1	3000742.0	3000742.0	0.0	moderate	10046_1_1_1	106.0	7.0	0.0	1.62
10049_1_1_1	10049_1_1_1	10049_1_1_1	3000676.2330190702	3000676.2330190702	0.0	moderate	10049_1_1_1	97.0	7.0	2.7669809299	0.73
10050_1_1_1	10050_1_1_1	10050_1_1_1	3000602.0	3000602.0	0.0	moderate	10050_1_1_1	86.0	7.0	0.0	1.25
10053_1_1_1	10053_1_1_1	10053_1_1_1	3002350.0	3002350.0	0.0	moderate	10053_1_1_1	470.0	5.0	0.0	2.74
10054_1_1_1	10054_1_1_1	10054_1_1_1	3000609.0	3000609.0	0.0	moderate	10054_1_1_1	87.0	7.0	0.0	0.92
10055_1_1_1	10055_1_1_1	10055_1_1_1	3001033.4802090735	3001033.4802090735	0.0	moderate	10055_1_1_1	148.0	7.0	2.5197909263	0.91
10056_1_1_1	10056_1_1_1	10056_1_1_1	3000655.4312114455	3000655.4312114455	0.0	moderate	10056_1_1_1	94.0	7.0	2.5687885544	0.42
10058_1_1_1	10058_1_1_1	10058_1_1_1	3000700.0	3000700.0	0.0	moderate	10058_1_1_1	100.0	7.0	0.0	0.2
10060_1_1_1	10060_1_1_1	10060_1_1_1	3000662.176668406	3000662.176668406	0.0	moderate	10060_1_1_1	95.0	7.0	2.8233315941	1.07
10065_1_1_1	10065_1_1_1	10065_1_1_1	3000637.0	3000637.0	0.0	moderate	10065_1_1_1	91.0	7.0	0.0	0.33
10067_1_1_1	10067_1_1_1	10067_1_1_1	3000770.0	3000770.0	0.0	moderate	10067_1_1_1	110.0	7.0	0.0	2.74
10068_1_1_1	10068_1_1_1	10068_1_1_1	3000966.0	3000966.0	0.0	moderate	10068_1_1_1	138.0	7.0	0.0	0.63
10070_1_1_1	10070_1_1_1	10070_1_1_1	3000637.0	3000637.0	0.0	moderate	10070_1_1_1	91.0	7.0	0.0	0.54
10072_1_1_1	10072_1_1_1	10072_1_1_1	3000602.0	3000602.0	0.0	moderate	10072_1_1_1	86.0	7.0	0.0	1.44
10073_1_1_1	10073_1_1_1	10073_1_1_1	3000924.0	3000924.0	0.0	moderate	10073_1_1_1	132.0	7.0	0.0	1.24
10074_1_1_1	10074_1_1_1	10074_1_1_1	3000882.0	3000882.0	0.0	moderate	10074_1_1_1	126.0	7.0	0.0	0.85
10076_1_1_1	10076_1_1_1	10076_1_1_1	3000865.373026708	3000865.373026708	0.0	moderate	10076_1_1_1	124.0	7.0	2.6269732919	0.38
10078_1_1_1	10078_1_1_1	10078_1_1_1	3000885.0	3000885.0	0.0	moderate	10078_1_1_1	177.0	5.0	0.0	1.31
10080_1_1_1	10080_1_1_1	10080_1_1_1	3000896.0	3000896.0	0.0	moderate	10080_1_1_1	128.0	7.0	0.0	0.45
10086_1_1_1	10086_1_1_1	10086_1_1_1	3000672.0	3000672.0	0.0	moderate	10086_1_1_1	96.0	7.0	0.0	0.23
10087_1_1_1	10087_1_1_1	10087_1_1_1	3000539.0	3000539.0	0.0	moderate	10087_1_1_1	77.0	7.0	0.0	0.78
10089_1_1_1	10089_1_1_1	10089_1_1_1	3001070.051974016	3001070.051974016	0.0	moderate	10089_1_1_1	153.0	7.0	0.9480259839	0.69
10091_1_1_1	10091_1_1_1	10091_1_1_1	3000637.0	3000637.0	0.0	moderate	10091_1_1_1	91.0	7.0	0.0	1.27
10092_1_1_1	10092_1_1_1	10092_1_1_1	3000826.0	3000826.0	0.0	moderate	10092_1_1_1	118.0	7.0	0.0	0.42
10093_1_1_1	10094_1_1_1	10094_1_1_1	3000714.0	3000714.0	0.0	moderate	10094_1_1_1	102.0	7.0	0.0	0.26
10093_1_1_1	10093_1_1_1	10094_1_1_1	3000676.808983388	3000714.0	37.1910166121088	moderate	10093_1_1_1	97.0	7.0	2.1910166119	0.6
10095_1_1_1	10095_1_1_1	10095_1_1_1	4000560.0	4000560.0	0.0	strict	10095_1_1_1	80.0	7.0	0.0	1.67
10096_1_1_1	10096_1_1_1	10096_1_1_1	3000850.0	3000850.0	0.0	moderate	10096_1_1_1	170.0	5.0	0.0	2.0
10097_1_1_1	10097_1_1_1	10097_1_1_1	3000684.4921579896	3000684.4921579896	0.0	moderate	10097_1_1_1	98.0	7.0	1.5078420105	1.15
10097_1_1_1	6152_1_1_1	10097_1_1_1	3000658.0	3000684.4921579896	26.49215798964724	moderate	6152_1_1_1	94.0	7.0	0.0	1.01
10099_1_1_1	10099_1_1_1	10099_1_1_1	3000803.258210738	3000803.258210738	0.0	moderate	10099_1_1_1	115.0	7.0	1.7417892618	0.47
10101_1_1_1	10101_1_1_1	10101_1_1_1	3000854.0	3000854.0	0.0	moderate	10101_1_1_1	122.0	7.0	0.0	0.47
10105_1_1_1	10105_1_1_1	10105_1_1_1	3000560.0	3000560.0	0.0	moderate	10105_1_1_1	80.0	7.0	0.0	0.42
10106_1_1_1	10106_1_1_1	10106_1_1_1	3000669.3386702444	3000669.3386702444	0.0	moderate	10106_1_1_1	96.0	7.0	2.6613297555	1.23
10107_1_1_1	10107_1_1_1	10107_1_1_1	3000791.0	3000791.0	0.0	moderate	10107_1_1_1	113.0	7.0	0.0	0.19
10113_1_1_1	10113_1_1_1	10113_1_1_1	3000879.002141356	3000879.002141356	0.0	moderate	10113_1_1_1	126.0	7.0	2.997858644	0.8
10114_1_1_1	10114_1_1_1	10114_1_1_1	3000802.1676381435	3000802.1676381435	0.0	moderate	10114_1_1_1	115.0	7.0	2.8323618565	0.93
10115_1_1_1	10115_1_1_1	10115_1_1_1	3000896.0	3000896.0	0.0	moderate	10115_1_1_1	128.0	7.0	0.0	0.56
10119_1_1_1	10119_1_1_1	10119_1_1_1	3000564.315625828	3000564.315625828	0.0	moderate	10119_1_1_1	81.0	7.0	2.684374172	0.79
10121_1_1_1	10121_1_1_1	10121_1_1_1	3000753.468982166	3000753.468982166	0.0	moderate	10121_1_1_1	108.0	7.0	2.5310178339	1.09
10123_1_1_1	10123_1_1_1	10123_1_1_1	4000651.0	4000651.0	0.0	strict	10123_1_1_1	93.0	7.0	0.0	0.57
10123_1_1_1	18478_1_1_1	10123_1_1_1	4000651.0	4000651.0	0.0	strict	18478_1_1_1	93.0	7.0	0.0	0.72
10123_1_1_1	5902_1_1_1	10123_1_1_1	3000690.5668518357	4000651.0	999960.4331481643	moderate	5902_1_1_1	99.0	7.0	2.4331481644	0.3
10123_1_1_1	18878_1_1_1	10123_1_1_1	3000651.0	4000651.0	1000000.0	moderate	18878_1_1_1	93.0	7.0	0.0	0.72
10125_1_1_1	10125_1_1_1	10125_1_1_1	3000851.3395124036	3000851.3395124036	0.0	moderate	10125_1_1_1	122.0	7.0	2.6604875963	0.89
10126_1_1_1	10126_1_1_1	10126_1_1_1	3000809.334164101	3000809.334164101	0.0	moderate	10126_1_1_1	116.0	7.0	2.6658358989	0.71
10127_1_1_1	10127_1_1_1	10127_1_1_1	3000669.4093077467	3000669.4093077467	0.0	moderate	10127_1_1_1	96.0	7.0	2.5906922535	0.99
10128_1_1_1	10128_1_1_1	10128_1_1_1	3000837.308674965	3000837.308674965	0.0	moderate	10128_1_1_1	120.0	7.0	2.6913250348	0.55
