15678_1_1_1	15678_1_1_1
27247_1_1_1	27247_1_1_1
17131_1_1_1	17131_1_1_1
17131_1_1_1	18261_1_1_1
17131_1_1_1	18262_1_1_1
17131_1_1_1	50972_1_1_1
17131_1_1_1	50353_1_1_1
52726_1_1_1	52726_1_1_1
16155_1_1_1	16155_1_1_1
18692_1_1_1	18692_1_1_1
17651_1_1_1	17651_1_1_1
16521_1_1_1	16521_1_1_1
16647_1_1_1	16647_1_1_1
19558_1_1_1	19558_1_1_1
18081_1_1_1	18081_1_1_1
34657_1_1_1	34657_1_1_1
16874_1_1_1	16874_1_1_1
18253_1_1_1	18253_1_1_1
18829_1_1_1	18829_1_1_1
15517_1_1_1	15517_1_1_1
17633_1_1_1	17633_1_1_1
50676_1_1_1	50676_1_1_1
18811_1_1_1	18811_1_1_1
19067_1_1_1	19067_1_1_1
19530_1_1_1	19530_1_1_1
27989_1_1_1	27989_1_1_1
27400_1_1_1	27400_1_1_1
27055_1_1_1	27055_1_1_1
34322_1_1_1	34322_1_1_1
51994_1_1_1	51994_1_1_1
52545_1_1_1	52545_1_1_1
52640_1_1_1	52640_1_1_1
16690_1_1_1	16690_1_1_1
50445_1_1_1	50445_1_1_1
27127_1_1_1	27127_1_1_1
11260_1_1_1	11260_1_1_1
10275_1_1_1	10275_1_1_1
11160_1_1_1	11160_1_1_1
11304_1_1_1	11304_1_1_1
11105_1_1_1	11105_1_1_1
25590_1_1_1	25590_1_1_1
25590_1_1_1	34383_1_1_1
25590_1_1_1	34281_1_1_1
25976_1_1_1	25976_1_1_1
18341_1_1_1	18341_1_1_1
25240_1_1_1	25240_1_1_1
15846_1_1_1	15846_1_1_1
17723_1_1_1	17723_1_1_1
19881_1_1_1	19881_1_1_1
19881_1_1_1	19714_1_1_1
27313_1_1_1	27313_1_1_1
15369_1_1_1	15369_1_1_1
15011_1_1_1	15011_1_1_1
15011_1_1_1	15010_1_1_1
15011_1_1_1	15009_1_1_1
15011_1_1_1	15008_1_1_1
15603_1_1_1	15603_1_1_1
30802_1_1_1	30802_1_1_1
16731_1_1_1	16731_1_1_1
34011_1_1_1	34011_1_1_1
16098_1_1_1	16098_1_1_1
50725_1_1_1	50725_1_1_1
50725_1_1_1	50621_1_1_1
16545_1_1_1	16545_1_1_1
27847_1_1_1	27847_1_1_1
28132_1_1_1	28132_1_1_1
19490_1_1_1	19490_1_1_1
26723_1_1_1	26723_1_1_1
36288_1_1_1	36288_1_1_1
50963_1_1_1	50963_1_1_1
34101_1_1_1	34101_1_1_1
25040_1_1_1	25040_1_1_1
25139_1_1_1	25139_1_1_1
34549_1_1_1	34549_1_1_1
36528_1_1_1	36528_1_1_1
36528_1_1_1	36527_1_1_1
30118_1_1_1	30118_1_1_1
16389_1_1_1	16389_1_1_1
11572_1_1_1	11572_1_1_1
11572_1_1_1	11142_1_1_1
17319_1_1_1	17319_1_1_1
27952_1_1_1	27952_1_1_1
27952_1_1_1	18190_1_1_1
27952_1_1_1	50168_1_1_1
27952_1_1_1	30293_1_1_1
18089_1_1_1	18089_1_1_1
18089_1_1_1	18087_1_1_1
18089_1_1_1	17857_1_1_1
18089_1_1_1	17866_1_1_1
16066_1_1_1	16066_1_1_1
34640_1_1_1	34640_1_1_1
19110_1_1_1	19110_1_1_1
11301_1_1_1	11301_1_1_1
11124_1_1_1	11124_1_1_1
11214_1_1_1	11214_1_1_1
10273_1_1_1	10273_1_1_1
18353_1_1_1	18353_1_1_1
19800_1_1_1	19800_1_1_1
36179_1_1_1	36179_1_1_1
52498_1_1_1	52498_1_1_1
16746_1_1_1	16746_1_1_1
17530_1_1_1	17530_1_1_1
52146_1_1_1	52146_1_1_1
18562_1_1_1	18562_1_1_1
18704_1_1_1	18704_1_1_1
25805_1_1_1	25805_1_1_1
18887_1_1_1	18887_1_1_1
17204_1_1_1	17204_1_1_1
51073_1_1_1	51073_1_1_1
17275_1_1_1	17275_1_1_1
26022_1_1_1	26022_1_1_1
30821_1_1_1	30821_1_1_1
25113_1_1_1	25113_1_1_1
30551_1_1_1	30551_1_1_1
52271_1_1_1	52271_1_1_1
25665_1_1_1	25665_1_1_1
50794_1_1_1	50794_1_1_1
28109_1_1_1	28109_1_1_1
28109_1_1_1	27591_1_1_1
28109_1_1_1	27592_1_1_1
28109_1_1_1	25441_1_1_1
18045_1_1_1	18045_1_1_1
15560_1_1_1	15560_1_1_1
15560_1_1_1	17414_1_1_1
25618_1_1_1	25618_1_1_1
19632_1_1_1	19632_1_1_1
16643_1_1_1	16643_1_1_1
17827_1_1_1	17827_1_1_1
27598_1_1_1	27598_1_1_1
17305_1_1_1	17305_1_1_1
16635_1_1_1	16635_1_1_1
17105_1_1_1	17105_1_1_1
34678_1_1_1	34678_1_1_1
34925_1_1_1	34925_1_1_1
11065_1_1_1	11065_1_1_1
51094_1_1_1	51094_1_1_1
36341_1_1_1	36341_1_1_1
10149_1_1_1	10149_1_1_1
10149_1_1_1	11143_1_1_1
11096_1_1_1	11096_1_1_1
11402_1_1_1	11402_1_1_1
10324_1_1_1	10324_1_1_1
51133_1_1_1	51133_1_1_1
15943_1_1_1	15943_1_1_1
27424_1_1_1	27424_1_1_1
16380_1_1_1	16380_1_1_1
51521_1_1_1	51521_1_1_1
16890_1_1_1	16890_1_1_1
17212_1_1_1	17212_1_1_1
30527_1_1_1	30527_1_1_1
30325_1_1_1	30325_1_1_1
19044_1_1_1	19044_1_1_1
27111_1_1_1	27111_1_1_1
15334_1_1_1	15334_1_1_1
15911_1_1_1	15911_1_1_1
17863_1_1_1	17863_1_1_1
17863_1_1_1	16237_1_1_1
18387_1_1_1	18387_1_1_1
16557_1_1_1	16557_1_1_1
50907_1_1_1	50907_1_1_1
15139_1_1_1	15139_1_1_1
34202_1_1_1	34202_1_1_1
34202_1_1_1	34216_1_1_1
30569_1_1_1	30569_1_1_1
19801_1_1_1	19801_1_1_1
19801_1_1_1	17286_1_1_1
34112_1_1_1	34112_1_1_1
16676_1_1_1	16676_1_1_1
34555_1_1_1	34555_1_1_1
36521_1_1_1	36521_1_1_1
15942_1_1_1	15942_1_1_1
34839_1_1_1	34839_1_1_1
52022_1_1_1	52022_1_1_1
51239_1_1_1	51239_1_1_1
18533_1_1_1	18533_1_1_1
26011_1_1_1	26011_1_1_1
25037_1_1_1	25037_1_1_1
26780_1_1_1	26780_1_1_1
30007_1_1_1	30007_1_1_1
30007_1_1_1	34301_1_1_1
30007_1_1_1	34299_1_1_1
34462_1_1_1	34462_1_1_1
