cluster_repr	member	best_repr	member_quality	best_repr_quality	quality_diff_vs_mmseqs	member_tier	member_ID	n_bb_pos	n_bb_types	max_potenci_off	max_lacs_off
10025_1_1_1	10025_1_1_1	10025_1_1_1	4000679.0	4000679.0	0.0	strict	10025_1_1_1	97.0	7.0	0.0	0.29
10028_1_1_1	10028_1_1_1	10028_1_1_1	4000301.0	4000301.0	0.0	strict	10028_1_1_1	43.0	7.0	0.0	1.42
10095_1_1_1	10095_1_1_1	10095_1_1_1	4000560.0	4000560.0	0.0	strict	10095_1_1_1	80.0	7.0	0.0	1.67
10123_1_1_1	10123_1_1_1	10123_1_1_1	4000651.0	4000651.0	0.0	strict	10123_1_1_1	93.0	7.0	0.0	0.57
10123_1_1_1	18478_1_1_1	10123_1_1_1	4000651.0	4000651.0	0.0	strict	18478_1_1_1	93.0	7.0	0.0	0.72
10129_1_1_1	10129_1_1_1	10129_1_1_1	4000805.0	4000805.0	0.0	strict	10129_1_1_1	115.0	7.0	0.0	0.63
10141_1_1_1	10141_1_1_1	10141_1_1_1	4000875.0	4000875.0	0.0	strict	10141_1_1_1	125.0	7.0	0.0	0.81
10147_1_1_1	10147_1_1_1	10147_1_1_1	4000840.0	4000840.0	0.0	strict	10147_1_1_1	120.0	7.0	0.0	0.26
10149_1_1_1	10149_1_1_1	10149_1_1_1	4000805.0	4000805.0	0.0	strict	10149_1_1_1	115.0	7.0	0.0	0.18
10149_1_1_1	11143_1_1_1	10149_1_1_1	4000798.0	4000805.0	7.0	strict	11143_1_1_1	114.0	7.0	0.0	2.46
10161_1_1_1	10161_1_1_1	10161_1_1_1	4000686.0	4000686.0	0.0	strict	10161_1_1_1	98.0	7.0	0.0	1.32
10163_1_1_1	10163_1_1_1	10163_1_1_1	4000665.0	4000665.0	0.0	strict	10163_1_1_1	95.0	7.0	0.0	1.72
10164_1_1_1	10164_1_1_1	10164_1_1_1	4000994.0	4000994.0	0.0	strict	10164_1_1_1	142.0	7.0	0.0	0.7
10193_1_1_1	10193_1_1_1	10193_1_1_1	4000448.0	4000448.0	0.0	strict	10193_1_1_1	64.0	7.0	0.0	0.44
10248_1_1_1	10248_1_1_1	10248_1_1_1	4000511.0	4000511.0	0.0	strict	10248_1_1_1	73.0	7.0	0.0	0.52
10250_1_1_1	10250_1_1_1	10250_1_1_1	4000987.0	4000987.0	0.0	strict	10250_1_1_1	141.0	7.0	0.0	0.28
10251_1_1_1	10251_1_1_1	10251_1_1_1	4000854.0	4000854.0	0.0	strict	10251_1_1_1	122.0	7.0	0.0	0.44
10253_1_1_1	10312_1_1_1	10312_1_1_1	4000854.0	4000854.0	0.0	strict	10312_1_1_1	122.0	7.0	0.0	1.13
10253_1_1_1	10253_1_1_1	10312_1_1_1	4000819.0	4000854.0	35.0	strict	10253_1_1_1	117.0	7.0	0.0	1.22
10256_1_1_1	10256_1_1_1	10256_1_1_1	4000693.0	4000693.0	0.0	strict	10256_1_1_1	99.0	7.0	0.0	0.58
10260_1_1_1	10260_1_1_1	10260_1_1_1	4000686.0	4000686.0	0.0	strict	10260_1_1_1	98.0	7.0	0.0	2.82
10262_1_1_1	10262_1_1_1	10262_1_1_1	4000672.0	4000672.0	0.0	strict	10262_1_1_1	96.0	7.0	0.0	1.13
10263_1_1_1	10263_1_1_1	10263_1_1_1	4000721.0	4000721.0	0.0	strict	10263_1_1_1	103.0	7.0	0.0	0.74
10264_1_1_1	10264_1_1_1	10264_1_1_1	4001111.0917287376	4001111.0917287376	0.0	strict	10264_1_1_1	159.0	7.0	1.9082712622	0.79
10267_1_1_1	18824_1_1_1	18824_1_1_1	4000798.0	4000798.0	0.0	strict	18824_1_1_1	114.0	7.0	0.0	0.61
10267_1_1_1	10267_1_1_1	18824_1_1_1	4000756.0	4000798.0	42.0	strict	10267_1_1_1	108.0	7.0	0.0	0.59
10269_1_1_1	10269_1_1_1	10269_1_1_1	4000406.0	4000406.0	0.0	strict	10269_1_1_1	58.0	7.0	0.0	1.43
10270_1_1_1	10270_1_1_1	10270_1_1_1	4000796.129697241	4000796.129697241	0.0	strict	10270_1_1_1	114.0	7.0	1.8703027593	0.45
10271_1_1_1	10271_1_1_1	10271_1_1_1	4000686.0	4000686.0	0.0	strict	10271_1_1_1	98.0	7.0	0.0	1.23
10273_1_1_1	10273_1_1_1	10273_1_1_1	4000581.0	4000581.0	0.0	strict	10273_1_1_1	83.0	7.0	0.0	2.82
10274_1_1_1	10274_1_1_1	10274_1_1_1	4000693.0	4000693.0	0.0	strict	10274_1_1_1	99.0	7.0	0.0	0.76
10275_1_1_1	10275_1_1_1	10275_1_1_1	4000609.0	4000609.0	0.0	strict	10275_1_1_1	87.0	7.0	0.0	0.6
10299_1_1_1	10299_1_1_1	10299_1_1_1	4000728.0	4000728.0	0.0	strict	10299_1_1_1	104.0	7.0	0.0	0.47
10314_1_1_1	10314_1_1_1	10314_1_1_1	4000798.0	4000798.0	0.0	strict	10314_1_1_1	114.0	7.0	0.0	0.42
10319_1_1_1	10319_1_1_1	10319_1_1_1	4000763.0	4000763.0	0.0	strict	10319_1_1_1	109.0	7.0	0.0	0.64
10322_1_1_1	10330_1_1_1	10330_1_1_1	4000735.0	4000735.0	0.0	strict	10330_1_1_1	105.0	7.0	0.0	1.75
10322_1_1_1	10334_1_1_1	10330_1_1_1	4000733.5900460454	4000735.0	1.4099539546296	strict	10334_1_1_1	105.0	7.0	1.4099539545	1.39
10322_1_1_1	10322_1_1_1	10330_1_1_1	4000686.0	4000735.0	49.0	strict	10322_1_1_1	98.0	7.0	0.0	1.41
10322_1_1_1	10146_1_1_1	10330_1_1_1	4000686.0	4000735.0	49.0	strict	10146_1_1_1	98.0	7.0	0.0	1.25
10323_1_1_1	10323_1_1_1	10323_1_1_1	4000707.0	4000707.0	0.0	strict	10323_1_1_1	101.0	7.0	0.0	2.49
10324_1_1_1	10324_1_1_1	10324_1_1_1	4000651.0	4000651.0	0.0	strict	10324_1_1_1	93.0	7.0	0.0	2.67
10327_1_1_1	10327_1_1_1	10327_1_1_1	4000770.0	4000770.0	0.0	strict	10327_1_1_1	110.0	7.0	0.0	1.59
10329_1_1_1	10329_1_1_1	10329_1_1_1	4000609.0	4000609.0	0.0	strict	10329_1_1_1	87.0	7.0	0.0	1.97
10332_1_1_1	10332_1_1_1	10332_1_1_1	4000721.0	4000721.0	0.0	strict	10332_1_1_1	103.0	7.0	0.0	1.64
10333_1_1_1	10333_1_1_1	10333_1_1_1	4000819.0	4000819.0	0.0	strict	10333_1_1_1	117.0	7.0	0.0	1.29
10335_1_1_1	10335_1_1_1	10335_1_1_1	4000707.0	4000707.0	0.0	strict	10335_1_1_1	101.0	7.0	0.0	2.18
10336_1_1_1	10336_1_1_1	10336_1_1_1	4001181.052531304	4001181.052531304	0.0	strict	10336_1_1_1	169.0	7.0	1.947468696	0.31
10338_1_1_1	10338_1_1_1	10338_1_1_1	4000364.0	4000364.0	0.0	strict	10338_1_1_1	52.0	7.0	0.0	0.36
11000_1_1_1	11000_1_1_1	11000_1_1_1	4000172.0	4000172.0	0.0	strict	11000_1_1_1	43.0	4.0	0.0	2.29
11018_1_1_1	18119_1_1_1	18119_1_1_1	4000448.0	4000448.0	0.0	strict	18119_1_1_1	64.0	7.0	0.0	0.66
11018_1_1_1	11018_1_1_1	18119_1_1_1	4000434.0	4000448.0	14.0	strict	11018_1_1_1	62.0	7.0	0.0	3.12
11037_1_1_1	11037_1_1_1	11037_1_1_1	4000434.0	4000434.0	0.0	strict	11037_1_1_1	62.0	7.0	0.0	2.43
11037_1_1_1	16207_1_1_1	11037_1_1_1	4000402.0	4000434.0	32.0	strict	16207_1_1_1	67.0	6.0	0.0	3.78
