,protein_length,mean_disorder_percentile,predictor_disagreement,length_bin
A0A024R1R8,64,0.9360055574297794,0.055190629218826885,<200
A0A024RBG1,181,0.4767568296917878,0.1245307920875095,<200
A0A075B6H7,116,0.23601014373093715,0.10382891908133692,<200
A0A075B6H8,117,0.26220240258016164,0.10605994930840709,<200
A0A075B6H9,119,0.30216733475287627,0.14021443572015513,<200
A0A075B6I0,122,0.3147067500361861,0.11166077168951839,<200
A0A075B6I1,120,0.3089160780632896,0.11169493291085322,<200
A0A075B6I3,123,0.31540201295276116,0.19400056396155732,<200
A0A075B6I4,117,0.4321901904876841,0.2240994033643651,<200
A0A075B6I6,118,0.31567830354080817,0.12476703127698739,<200
A0A075B6I7,105,0.3165604124364809,0.17183636085834886,<200
A0A075B6I9,117,0.3076311357550479,0.09301696496636666,<200
A0A075B6J1,123,0.3020770220215499,0.14614783257749367,<200
A0A075B6J2,118,0.2929311479422335,0.10025900338404758,<200
A0A075B6J6,115,0.4063286799915817,0.1768231230340174,<200
A0A075B6J9,118,0.38481722323300593,0.18423217892143168,<200
A0A075B6K0,115,0.3576744892756708,0.14467662107766785,<200
A0A075B6K2,115,0.37932255546930804,0.18313517769911905,<200
A0A075B6K4,115,0.39760042723208894,0.17044319084857118,<200
A0A075B6K5,115,0.32694883698229843,0.17280370836330453,<200
A0A075B6K6,122,0.3809527326858245,0.17525622027176987,<200
A0A075B6L2,119,0.26025656524987084,0.1241981770096741,<200
A0A075B6L6,115,0.3751652677460887,0.14337452592004216,<200
A0A075B6N1,114,0.23032829996046614,0.08764634596698608,<200
A0A075B6N2,111,0.19461489271384172,0.08460455094576495,<200
A0A075B6N3,115,0.2650425432437027,0.08752495563893115,<200
A0A075B6N4,114,0.2634679071784861,0.1198599990668561,<200
A0A075B6P5,120,0.26589386784208596,0.10955705722436385,<200
A0A075B6Q5,118,0.2508669652114501,0.09379944696579741,<200
A0A075B6R0,118,0.2761021387910241,0.10836359528377938,<200
A0A075B6R2,117,0.23528194897830637,0.09353331592111316,<200
A0A075B6R9,120,0.27063142319748656,0.0938645659437958,<200
A0A075B6S0,16,0.787007970368953,0.24443222134753342,<200
A0A075B6S2,120,0.25930344098766955,0.08720722984461214,<200
A0A075B6S4,117,0.27490120770067744,0.08905498810001078,<200
A0A075B6S5,117,0.29278575740118035,0.08705342681171836,<200
A0A075B6S6,120,0.2653842307655757,0.09402059900886875,<200
A0A075B6S9,117,0.30174374923575725,0.09675627346523782,<200
A0A075B6T6,113,0.2358579001226344,0.17773036663969066,<200
A0A075B6T7,132,0.3774806156965901,0.12777516423311225,<200
A0A075B6T8,112,0.2941391890511073,0.12025127425267557,<200
A0A075B6U4,112,0.28253132092483874,0.11018238649776016,<200
A0A075B6V5,113,0.23306711813743752,0.17313627124418898,<200
A0A075B6W5,121,0.35699715680096944,0.16184873613997833,<200
A0A075B6X5,111,0.30492083629734934,0.18027874856020926,<200
A0A075B6Y3,20,0.82857632407324,0.19932133343997016,<200
A0A075B6Y9,20,0.8376865124695388,0.16312611925884743,<200
A0A075B700,18,0.7939249379319222,0.16536060238415973,<200
A0A075B706,16,0.8176212651059185,0.15477578917015677,<200
A0A075B734,346,0.4100281165352294,0.14314510994754845,200-499
A0A075B759,164,0.1632147660170527,0.1963658393431704,<200
A0A075B767,164,0.1549866196454335,0.18568903193192063,<200
A0A087WSX0,123,0.27583790588957563,0.13487729259639467,<200
A0A087WSY4,118,0.2239449686848523,0.10428821538441412,<200
A0A087WSY6,115,0.26062453808824,0.12482769858451881,<200
A0A087WSZ0,117,0.2387689305982069,0.11205386515973621,<200
A0A087WSZ9,112,0.26743085883155265,0.1450692732598872,<200
A0A087WT01,109,0.22260948483017615,0.12379255413020965,<200
A0A087WT02,112,0.2651662276640748,0.17342860063921925,<200
A0A087WT03,109,0.2363635189930131,0.11383888507195951,<200
A0A087WTH1,108,0.5146701640213075,0.1739771864184654,<200
A0A087WUL8,3843,0.7036821619916744,0.2563770669671236,>=1000
A0A087WUV0,522,0.6960910475773715,0.11017846089556789,500-999
A0A087WV53,238,0.3274232590446828,0.158781895609828,200-499
A0A087WV62,115,0.24354754329236158,0.11380476436428709,<200
A0A087WVF3,549,0.6306553397032558,0.09304060513500803,500-999
A0A087WW87,121,0.29863141303478535,0.10595132474401103,<200
A0A087WWA1,95,0.8490446026960309,0.11694692573224694,<200
A0A087WWS6,190,0.29045197753249774,0.14521403896273194,<200
A0A087WXM9,373,0.9571363538575897,0.041080945972679236,200-499
A0A087WXS9,549,0.6333504367288857,0.09392985865452143,500-999
A0A087X0K7,114,0.28568353139157004,0.14615374156466646,<200
A0A087X0M5,115,0.2553509932893914,0.1189350548933163,<200
A0A087X179,549,0.6281852125553254,0.09344723982498034,500-999
A0A087X1C5,515,0.12881009742520103,0.1211329149422947,500-999
A0A087X1G2,549,0.6278500880815289,0.09254105027635853,500-999
A0A096LNP1,70,0.6173235684142739,0.19917405263631432,<200
A0A096LNW5,274,0.3157306031584691,0.13609253742976665,200-499
A0A096LP01,95,0.7374739932694884,0.15967675645353813,<200
A0A096LP49,1063,0.8904969434979788,0.1486644357781115,>=1000
A0A096LP55,91,0.6481335228355913,0.19018351885905224,<200
A0A096LPI5,108,0.8729667095597415,0.16619270600475247,<200
