region,rank_with_pdbflex,priority_score_with_pdbflex,mean_disagreement_with_pdbflex,disagreement_type_with_pdbflex,top_predictor_with_pdbflex,bottom_predictor_with_pdbflex,rank_without_pdbflex,priority_score_without_pdbflex,mean_disagreement_without_pdbflex,disagreement_type_without_pdbflex,top_predictor_without_pdbflex,bottom_predictor_without_pdbflex,rank_delta_without_pdbflex_minus_with_pdbflex
DP03966:461-490,2651,0.2076811019206998,0.3721354283246215,general_predictor_spread,chezod,softdis,1173,0.2701478567352388,0.4589097384790342,general_predictor_spread,chezod,softdis,-1478
DP03816:231-260,3463,0.1588834352102118,0.3225700923579773,general_predictor_spread,chezod,softdis,2021,0.201892802279502,0.3922020364495498,general_predictor_spread,chezod,softdis,-1442
DP03823:1141-1170,2857,0.1947598042078561,0.3184959673919683,general_predictor_spread,chezod,plddt,1422,0.2448163315083384,0.3796019270047229,general_predictor_spread,chezod,plddt,-1435
DP03486:131-160,2738,0.2023136802902193,0.441959663549443,general_predictor_spread,chezod,softdis,1337,0.2534262600649969,0.4994921904882686,general_predictor_spread,chezod,softdis,-1401
DP02755:571-600,3216,0.1731047253096019,0.3000091499319616,general_predictor_spread,chezod,plddt,1820,0.2159498208479545,0.3559573990086144,general_predictor_spread,chezod,plddt,-1396
DP03877:471-500,2583,0.2117950144038149,0.3134663362228111,general_predictor_spread,chezod,disprot,1187,0.2688349400589677,0.3923212431117419,general_predictor_spread,chezod,disprot,-1396
DP02755:61-90,2708,0.2036783916860262,0.353823359153002,general_predictor_spread,chezod,plddt,1331,0.2540605865397488,0.417939317528733,general_predictor_spread,chezod,plddt,-1377
DP03965:481-510,3442,0.1601633332888041,0.292594276504489,general_predictor_spread,chezod,plddt,2074,0.1978836644703277,0.3444393279766234,general_predictor_spread,chezod,plddt,-1368
DP00553:551-580,2650,0.2077503868390094,0.3685807105698973,general_predictor_spread,chezod,plddt,1287,0.2585890901029216,0.4432551935511685,general_predictor_spread,chezod,plddt,-1363
DP03607:311-340,3502,0.1567945514410985,0.2661564203753349,general_predictor_spread,chezod,plddt,2140,0.1937557416213312,0.3162448677266484,general_predictor_spread,chezod,plddt,-1362
DP03877:381-410,2589,0.2114098511008923,0.2641619591114911,general_predictor_spread,softdis,disprot,1231,0.264559266006851,0.3234132627582646,general_predictor_spread,softdis,disprot,-1358
DP00553:601-630,3500,0.1569401989720369,0.2794679271149761,general_predictor_spread,chezod,softdis,2146,0.1932610897064401,0.3298335486167239,general_predictor_spread,chezod,softdis,-1354
DP03965:491-520,1968,0.2609983949012538,0.4138663626349898,general_predictor_spread,chezod,softdis,616,0.3390883255816905,0.5087477786521506,general_predictor_spread,chezod,softdis,-1352
DP03877:461-490,3369,0.1641684092189881,0.2805645708099983,general_predictor_spread,chezod,disprot,2018,0.2020293300622473,0.338541946345068,general_predictor_spread,chezod,disprot,-1351
DP03607:301-330,2509,0.21758537101054,0.3122887932987099,general_predictor_spread,chezod,plddt,1161,0.2714258020987926,0.3787740989522615,general_predictor_spread,chezod,plddt,-1348
DP03486:101-130,1891,0.2676166094569342,0.4816544310686185,general_predictor_spread,chezod,softdis,544,0.3500016582080572,0.5918036924883737,general_predictor_spread,chezod,softdis,-1347
DP02783:431-460,2486,0.2193421652655039,0.3689069813132788,general_predictor_spread,chezod,softdis,1140,0.2734306265521499,0.4362629213336866,general_predictor_spread,chezod,softdis,-1346
DP00385:331-360,3302,0.1676228444513163,0.2905101449348238,general_predictor_spread,chezod,plddt,1967,0.2049868136243145,0.3389009550318863,general_predictor_spread,chezod,plddt,-1335
DP03486:91-120,2495,0.2187445732440114,0.3342623539892594,general_predictor_spread,chezod,softdis,1164,0.2708978136502812,0.3949196582040688,general_predictor_spread,chezod,softdis,-1331
DP02755:581-610,3498,0.156969427132326,0.2845375160507626,general_predictor_spread,chezod,plddt,2168,0.1919781575944888,0.336551460928457,general_predictor_spread,chezod,plddt,-1330
DP03835:181-210,4417,0.1079906446909937,0.2289588777163964,general_predictor_spread,trizod,softdis,3091,0.1442641630936637,0.2776881693891146,general_predictor_spread,trizod,softdis,-1326
DP02783:421-450,3607,0.1506660809145271,0.2966508216517384,general_predictor_spread,chezod,softdis,2282,0.1861915496775382,0.3416335457543291,general_predictor_spread,chezod,softdis,-1325
DP02783:441-470,2143,0.2462498646298907,0.3957787288739466,general_predictor_spread,chezod,softdis,819,0.310574013783032,0.4800296178476919,general_predictor_spread,chezod,softdis,-1324
DP03607:291-320,3057,0.1822706497327217,0.2571617934008701,general_predictor_spread,chezod,disprot,1734,0.2216926447082783,0.3069066130216563,general_predictor_spread,chezod,disprot,-1323
DP03877:231-260,3987,0.1292313334955481,0.2449837265673843,general_predictor_spread,atlas,softdis,2667,0.1656293276334265,0.2914566694116481,general_predictor_spread,atlas,softdis,-1320
DP00553:61-90,2508,0.2177162952240535,0.3626172246189198,general_predictor_spread,chezod,plddt,1192,0.2685575936166235,0.423757104638018,general_predictor_spread,chezod,plddt,-1316
DP03964:41-70,2648,0.2078247541959162,0.2945591956335501,general_predictor_spread,chezod,plddt,1344,0.2528938905074833,0.3467531086213089,general_predictor_spread,chezod,plddt,-1304
DP00385:321-350,4081,0.1233740193705378,0.2740522272014538,general_predictor_spread,chezod,plddt,2791,0.1591063325489595,0.329669305350831,general_predictor_spread,chezod,plddt,-1290
DP03823:1151-1180,2484,0.2195002567558401,0.3411218816798253,general_predictor_spread,chezod,disprot,1195,0.2680313859848794,0.3987595985863832,general_predictor_spread,chezod,disprot,-1289
DP01040:191-220,2773,0.1999313472636529,0.6843005886422221,general_predictor_spread,trizod,atlas,1488,0.2396824061067963,0.7637449864396452,general_predictor_spread,trizod,atlas,-1285
DP03366:301-330,3387,0.1626836517421917,0.2414393442958553,general_predictor_spread,chezod,plddt,2102,0.1955477044151643,0.2795584491426354,general_predictor_spread,chezod,plddt,-1285
DP00337:101-130,3321,0.1666876851218617,0.2700072414710906,general_predictor_spread,atlas,plddt,2041,0.2009825251863142,0.3030684905330613,general_predictor_spread,atlas,plddt,-1280
DP00385:311-340,4350,0.1108203518583537,0.2861231012862889,general_predictor_spread,chezod,softdis,3073,0.1453089932095927,0.3346620038047315,general_predictor_spread,chezod,softdis,-1277
DP03966:451-480,3797,0.1391236988467574,0.2922629024891601,general_predictor_spread,chezod,plddt,2523,0.1727624756816604,0.3370968470004861,general_predictor_spread,chezod,plddt,-1274
DP03835:421-450,2922,0.1899128733009791,0.3096265737603548,general_predictor_spread,chezod,plddt,1650,0.2277429722333017,0.3663496124416799,general_predictor_spread,chezod,plddt,-1272
DP03823:1161-1190,2846,0.1952281517818162,0.325763211402797,general_predictor_spread,chezod,disprot,1580,0.2327987953411153,0.3767328455162039,general_predictor_spread,chezod,disprot,-1266
DP00605:601-630,3449,0.1597515583709823,0.2619328519257593,general_predictor_spread,chezod,disprot,2188,0.1906673385723996,0.2934062053052363,general_predictor_spread,chezod,disprot,-1261
DP00337:21-50,2960,0.1879182070448799,0.2578249446464085,general_predictor_spread,atlas,plddt,1704,0.2236515564049704,0.2991674351518364,general_predictor_spread,atlas,plddt,-1256
DP03823:1031-1060,3221,0.1725276152710983,0.2781808450633915,general_predictor_spread,chezod,disprot,1978,0.2043642198645822,0.3158250021395413,general_predictor_spread,chezod,disprot,-1243
DP03964:51-80,3585,0.1519437104591931,0.250720888338229,general_predictor_spread,chezod,plddt,2344,0.1822400224837096,0.2814020386470035,general_predictor_spread,chezod,plddt,-1241
DP02783:451-480,2070,0.2521218948266309,0.3830620661286792,general_predictor_spread,chezod,softdis,829,0.3099264482128208,0.4445969252200613,general_predictor_spread,chezod,softdis,-1241
DP03835:331-360,3005,0.1850087690072753,0.2731746374435746,general_predictor_spread,softdis,plddt,1765,0.2195917371991467,0.3225597129470034,general_predictor_spread,softdis,plddt,-1240
DP02755:521-550,2877,0.1929981452341276,0.4114643977990436,general_predictor_spread,chezod,plddt,1648,0.2280221555794059,0.4718979172671676,general_predictor_spread,chezod,plddt,-1229
DP00553:541-570,2809,0.1974279478962098,0.4106242627195692,general_predictor_spread,chezod,plddt,1583,0.2324894925921981,0.4703639595642653,general_predictor_spread,chezod,plddt,-1226
DP02755:531-560,2272,0.2354640874517629,0.3493650594449697,general_predictor_spread,chezod,disprot,1053,0.2820058241873723,0.4108552142750331,general_predictor_spread,chezod,disprot,-1219
DP00553:461-490,3854,0.1360914343835643,0.294711081476901,general_predictor_spread,trizod,plddt,2636,0.1669448452117728,0.3491054447429416,general_predictor_spread,trizod,plddt,-1218
DP03964:461-490,1890,0.2678063612454383,0.4185271289109409,general_predictor_spread,chezod,softdis,680,0.3309169340201143,0.4981297302328503,general_predictor_spread,chezod,softdis,-1210
DP03877:451-480,3070,0.1815882637338924,0.3057093158192276,general_predictor_spread,chezod,disprot,1861,0.2126664539521721,0.3579077072246876,general_predictor_spread,chezod,disprot,-1209
DP01582:1591-1620,2169,0.2440818746507606,0.306527234893538,general_predictor_spread,chezod,softdis,960,0.2924548743639643,0.3489116091911443,general_predictor_spread,chezod,softdis,-1209
DP00553:51-80,2270,0.235554565765956,0.3733334645157555,general_predictor_spread,chezod,plddt,1064,0.2806647038273017,0.4300294380735964,general_predictor_spread,chezod,plddt,-1206
